Code,BirthYear,DeathYear,DeathMonth,DeathType,AgeWhenDied,FirstWinterSurvival
ABA14,2014,2018,2,N,4,1
ABA16,2016,2018,1,N,2,1
ABA17,2017,2018,1,N,1,0
ABA20,2020,2021,3,N,1,0
ABA21,2021,2022,4,N,1,0
ABA22,2022,2023,3,N,1,0
ABS04,2004,2005,2,N,1,0
ABS06,2006,2007,4,N,1,0
ABS08,2008,2009,3,Q,1,0
ABS11,2011,2011,9,Q,0,0
ABS13,2013,2013,5,Q,0,0
ABS14,2014,2015,2,,1,0
ACA10,2010,2010,12,S,0,0
ACA11,2011,2012,1,S,1,
ACC08,2008,2009,1,Q,1,0
ACHIL,1967,1976,8,S,9,1
ACO21,2021,2022,3,N,1,0
ACO23,2023,2023,6,Q,0,0
ADI20,2020,2021,2,N,1,0
ADI21,2021,2022,2,N,1,0
ADZ78,1978,1978,6,Q,0,0
ADZ79,1979,1981,2,N,2,1
ADZ80,1980,1980,7,Q,0,0
ADZ81,1981,1981,6,D,0,0
ADZ82,1982,1986,1,S,4,1
ADZ83,1983,1983,6,Q,0,0
ADZ85,1985,1986,3,N,1,0
AER23,2023,2023,10,Q,0,0
AGA84,1984,1992,3,N,8,1
AGA86,1986,1986,6,Q,0,0
AGA87,1987,1987,6,Q,0,0
AGO20,2020,2021,1,N,1,0
AGO21,2021,2022,3,N,1,0
AGO22,2022,2023,3,N,1,0
AIDAN,1997,2013,,Q,16,1
ALB91,1991,1992,2,N,1,0
ALB92,1992,1992,6,Q,0,0
ALB93,1993,1998,11,Q,5,1
ALB94,1994,2002,2,N,8,1
ALB97,1997,1999,4,N,2,1
ALC89,1989,1991,12,S,2,1
ALCOC,1973,1979,9,S,6,1
ALD01,2001,2005,11,S,4,1
ALD91,1991,2000,11,S,9,1
ALD93,1993,2008,,Q,15,1
ALD94,1994,2005,1,S,11,1
ALD96,1996,2002,8,S,6,1
ALD98,1998,2004,12,S,6,1
ALD99,1999,2014,,,15,1
ALFIE,2003,2009,,Q,6,1
ALI13,2013,2013,12,S,0,0
ALL11,2011,2012,3,N,1,0
ALL16,2016,2017,3,N,1,0
ALL17,2017,2019,2,N,2,1
ALL18,2018,2018,6,Q,0,0
ALL20,2020,2021,3,N,1,0
ALL21,2021,2022,3,N,1,0
ALM88,1988,1989,2,Q,1,0
ALTOS,1968,1978,4,N,10,1
AMBER,1967,1976,2,N,9,1
AMC16,2016,2017,3,N,1,0
AMC18,2018,2019,4,N,1,0
AMC20,2020,2020,5,Q,0,0
AME12,2012,2012,6,Q,0,0
AME13,2013,2015,3,N,2,1
AME16,2016,2017,3,N,1,0
AME22,2022,2022,6,Q,0,0
AML16,2016,2018,2,N,2,1
AND02,2002,2005,8,S,3,1
ANK86,1986,1987,1,N,1,0
ANK87,1987,1997,7,S,10,1
ANK89,1989,2003,7,Q,14,1
ANK90,1990,2002,10,Q,12,1
ANK91,1991,1999,3,Q,8,1
ANK92,1992,1993,3,N,1,0
ANM02,2002,2015,3,N,13,1
ANM03,2003,2005,2,N,2,1
ANM04,2004,2017,9,S,13,1
ANM06,2006,2019,3,N,13,1
ANM07,2007,2007,6,B,0,0
ANT00,2000,2002,7,S,2,1
ANT97,1997,2001,11,S,4,1
APA04,2004,2005,4,N,1,0
APA05,2005,2006,3,N,1,0
APA07,2007,2011,9,S,4,1
APA12,2012,2014,7,S,2,1
APA13,2013,2013,6,W,0,0
APG22,2022,2022,6,B,0,0
APH00,2000,2000,6,B,0,0
APH90,1990,1990,6,Q,0,0
APH91,1991,1996,10,S,5,1
APH92,1992,1992,6,E,0,0
APH93,1993,1998,11,S,5,1
APH94,1994,1995,12,S,1,1
APH95,1995,2000,,Q,5,1
APH96,1996,1998,11,S,2,1
APH98,1998,2001,11,S,3,1
APH99,1999,1999,7,E,0,0
APN85,1985,1985,6,Q,0,0
APN87,1987,1989,2,N,2,1
APN89,1989,1990,2,N,1,0
APO15,2015,2023,1,S,8,1
APR74,1974,1981,12,Q,7,1
APR75,1975,1989,1,N,14,1
APR81,1981,1982,3,N,1,0
APRIC,1967,1982,2,N,15,1
AQU89,1989,1991,3,N,2,1
AQU91,1991,1996,11,S,5,1
AQU96,1996,1996,11,N,0,0
ARA05,2005,2005,7,B,0,0
ARA06,2006,2008,2,N,2,1
ARA07,2007,2008,2,N,1,0
ARA10,2010,2011,3,N,1,0
ARA11,2011,2018,4,N,7,1
ARA13,2013,2014,1,N,1,0
ARA15,2015,2020,6,G,5,1
ARB04,2004,2006,1,S,2,1
ARB06,2006,2011,10,S,5,1
ARB08,2008,2009,1,N,1,0
ARB09,2009,2009,5,Q,0,0
ARB10,2010,2010,7,Q,0,0
ARB11,2011,2014,1,S,3,1
ARB13,2013,2015,11,S,2,1
ARCHI,2003,2012,,Q,9,1
ARD02,2002,2004,7,S,2,1
ARD04,2004,2004,12,S,0,0
ARDBG,2006,2014,,Q,8,1
ARE17,2017,2018,3,N,1,0
ARI01,2001,2002,12,S,1,1
ARI91,1991,1995,9,S,4,1
ARI93,1993,2000,8,S,7,1
ARI94,1994,1995,3,N,1,0
ARI96,1996,2001,11,Q,5,1
ARI97,1997,1999,11,S,2,1
ARI99,1999,2003,11,S,4,1
ARN19,2019,2019,6,Q,0,0
ARN21,2021,2021,12,S,0,0
ART00,2000,2012,,,12,1
ART99,1999,1999,6,Q,0,0
ASB09,2009,2010,1,N,1,0
ASB10,2010,2011,3,Q,1,0
ASB12,2012,2012,5,D,0,0
ASB13,2013,2018,1,S,5,1
ASB14,2014,2018,8,S,4,1
ASB15,2015,2016,4,A,1,0
ASB16,2016,2021,10,S,5,1
ASB18,2018,2018,9,S,0,0
ASP76,1976,1976,6,D,0,0
ASP77,1977,1989,4,N,12,1
ASP78,1978,1990,1,N,12,1
ASP80,1980,1981,4,N,1,0
ASP82,1982,1982,6,Q,0,0
ASP83,1983,1988,9,Q,5,1
AST89,1989,1989,9,Q,0,0
AST90,1990,2001,12,N,11,1
AST91,1991,2005,,Q,14,1
AST93,1993,1994,4,N,1,0
AST94,1994,1995,4,N,1,0
AST95,1995,2005,2,N,10,1
AST97,1997,1997,7,B,0,0
ATA10,2010,2010,12,S,0,0
ATH85,1985,1998,1,N,13,1
ATH87,1987,2002,12,N,15,1
ATH89,1989,1999,11,S,10,1
ATH91,1991,2005,10,S,14,1
ATH94,1994,1995,3,N,1,0
AUK17,2017,2018,1,N,1,0
AUR88,1988,1989,3,N,1,0
AVO81,1981,1982,2,N,1,0
AVO82,1982,1985,6,C,3,1
AVO83,1983,1993,4,N,10,1
AVO84,1984,1996,5,N,12,1
AVO85,1985,1997,3,N,12,1
AVO86,1986,1987,4,N,1,0
AVO88,1988,1989,3,N,1,0
AVO89,1989,2004,6,N,15,1
AVO90,1990,2004,2,N,14,1
AVO91,1991,1992,2,N,1,0
AVO92,1992,1993,1,N,1,0
AXL07,2007,2008,3,N,1,0
AXL11,2011,2012,2,N,1,0
AYE07,2007,2012,10,S,5,1
AYE16,2016,2017,2,N,1,0
AZU05,2005,2013,1,S,8,1
AZU07,2007,2012,1,S,5,1
AZU08,2008,2014,1,S,6,1
AZU09,2009,2009,6,Q,0,0
AZU10,2010,2010,5,E,0,0
AZU11,2011,2011,5,Q,0,0
AZU12,2012,2014,2,S,2,1
AZU13,2013,2014,2,S,1,
BAC03,2003,2004,6,N,1,1
BAC97,1997,1997,6,D,0,0
BAC98,1998,2007,7,Q,9,1
BAC99,1999,2000,1,N,1,0
BAL15,2015,2016,3,N,1,0
BAL17,2017,2023,1,S,6,1
BAN87,1987,1989,11,Q,2,1
BAN93,1993,1993,12,S,0,0
BAR75,1975,1985,3,N,10,1
BAR76,1976,1980,8,S,4,1
BAR77,1977,1986,3,N,9,1
BAR78,1978,1979,12,N,1,1
BAR79,1979,1992,4,N,13,1
BAR80,1980,1993,2,N,13,1
BAR81,1981,1982,9,Q,1,1
BAR82,1982,1992,4,N,10,1
BAR83,1983,1995,6,C,12,1
BAR84,1984,1995,3,N,11,1
BAR85,1985,1986,4,N,1,0
BAS19,2019,2019,6,Q,0,0
BASIL,1988,2002,,Q,14,1
BAU16,2016,2018,2,N,2,1
BAU17,2017,2018,4,N,1,0
BAU18,2018,2021,10,S,3,1
BAYLE,1963,1978,3,N,15,1
BBA17,2017,2018,2,N,1,0
BBA19,2019,2019,6,B,0,0
BBG15,2015,2016,11,S,1,1
BBG16,2016,2016,11,S,0,0
BCA14,2014,2014,6,Q,0,0
BCA15,2015,2015,5,Q,0,0
BCA16,2016,2018,1,S,2,1
BCA17,2017,2018,1,S,1,
BCA19,2019,2022,7,S,3,1
BCA23,2023,2023,5,B,0,0
BCL84,1984,1993,4,N,9,1
BCL86,1986,1999,3,N,13,1
BCL87,1987,1993,3,N,6,1
BCL88,1988,1989,3,N,1,0
BCL89,1989,1990,4,N,1,0
BCL90,1990,2000,4,N,10,1
BCL91,1991,1993,3,N,2,1
BCL93,1993,2008,2,N,15,1
BCL94,1994,1995,3,N,1,0
BCL95,1995,2005,1,N,10,1
BCL96,1996,2008,1,N,12,1
BDLFT,1973,1980,9,Q,7,1
BEA00,2000,2016,6,C,16,1
BEA04,2004,2004,6,Q,0,0
BEA05,2005,2014,1,S,9,1
BED12,2012,2014,8,S,2,1
BED14,2014,2014,6,Q,0,0
BED17,2017,2023,1,S,6,1
BEE88,1988,1988,6,D,0,0
BEE89,1989,1989,6,Q,0,0
BEE90,1990,1993,4,N,3,1
BEE91,1991,1992,3,N,1,0
BEE93,1993,2018,12,N,25,1
BEE94,1994,2000,11,S,6,1
BEE96,1996,1996,6,E,0,0
BEL08,2008,2013,9,S,5,1
BERTI,1993,2002,,Q,9,1
BET73,1973,1986,3,N,13,1
BET74,1974,1974,5,D,0,0
BET75,1975,1978,10,A,3,1
BET76,1976,1986,3,N,10,1
BET78,1978,1986,,Q,8,1
BET80,1980,1981,3,N,1,0
BGE20,2020,2023,8,S,3,1
BGE22,2022,2022,10,S,0,0
BGR74,1974,1979,7,S,5,1
BHN04,2004,2004,11,S,0,0
BIE00,2000,2000,10,Q,0,0
BIE01,2001,2013,5,C,12,1
BIE02,2002,2004,4,N,2,1
BIE03,2003,2004,2,N,1,0
BIE04,2004,2005,3,N,1,0
BIE06,2006,2008,7,Q,2,1
BIE08,2008,2009,2,N,1,0
BIE97,1997,2010,5,N,13,1
BIE99,1999,2000,3,N,1,0
BIG72,1972,1973,3,N,1,0
BIG73,1973,1973,6,Q,0,0
BIG74,1974,1976,3,N,2,1
BIG75,1975,1976,2,N,1,0
BIG76,1976,1988,10,Q,12,1
BIG78,1978,1979,4,N,1,0
BIG80,1980,1980,12,N,0,0
BIGHE,1968,1980,12,N,12,1
BIJ13,2013,2014,3,N,1,0
BIJ16,2016,2017,4,N,1,0
BIL84,1984,2000,2,N,16,1
BIL85,1985,1993,9,S,8,1
BILBO,1971,1978,8,S,7,1
BILLS,1963,1976,3,N,13,1
BILLY,2000,2006,,Q,6,1
BIS81,1981,1982,12,N,1,1
BIS83,1983,1983,9,N,0,0
BIS84,1984,1986,5,N,2,1
BIT01,2001,2009,3,Q,8,1
BIT03,2003,2003,10,S,0,0
BITES,1978,1992,1,N,14,1
BLC76,1976,1976,7,Q,0,0
BLC77,1977,1980,3,N,3,1
BLC79,1979,1979,6,D,0,0
BLC80,1980,1981,2,N,1,0
BLC81,1981,1995,3,N,14,1
BLC82,1982,1982,6,D,0,0
BLC84,1984,1984,6,Q,0,0
BLC85,1985,1986,3,N,1,0
BLC87,1987,1988,3,N,1,0
BLC88,1988,1988,6,Q,0,0
BLC89,1989,1990,3,N,1,0
BLF95,1995,2006,2,S,11,1
BLI19,2019,2020,3,N,1,0
BLINK,2005,2013,,Q,8,1
BLL18,2018,2019,1,S,1,
BLO72,1972,1990,1,N,18,1
BLO73,1973,1975,1,N,2,1
BLO74,1974,1975,4,N,1,0
BLO75,1975,1992,11,N,17,1
BLO78,1978,1986,9,S,8,1
BLO80,1980,1987,11,Q,7,1
BLO82,1982,1983,3,N,1,0
BLO85,1985,1986,1,N,1,0
BLOSS,1967,1986,1,N,19,1
BLT68,1968,1981,1,N,13,1
BLT69,1969,1985,2,N,16,1
BLT71,1971,1982,3,N,11,1
BLT72,1972,1981,4,N,9,1
BLT73,1973,1983,2,N,10,1
BLT75,1975,1992,12,N,17,1
BLT76,1976,1979,4,N,3,1
BLT78,1978,1978,7,Q,0,0
BLTLE,1961,1979,12,N,18,1
BMA10,2010,2010,6,D,0,0
BMA11,2011,2013,9,S,2,1
BMA12,2012,2013,9,S,1,1
BMA13,2013,2017,9,S,4,1
BMA15,2015,2017,1,S,2,1
BMA16,2016,2019,12,S,3,1
BMA19,2019,2019,12,S,0,0
BMB10,2010,2016,10,S,6,1
BMB12,2012,2013,1,N,1,0
BMB13,2013,2016,10,S,3,1
BMB14,2014,2015,4,Q,1,0
BMB15,2015,2015,5,B,0,0
BMY17,2017,2019,3,N,2,1
BMY19,2019,2023,9,S,4,1
BNG17,2017,2018,1,N,1,0
BNJ01,2001,2002,2,N,1,0
BNJ03,2003,2004,2,N,1,0
BNN00,2000,2000,6,Q,0,0
BNN01,2001,2001,6,D,0,0
BNN02,2002,2002,5,D,0,0
BNN03,2003,2005,3,N,2,1
BNN04,2004,2005,3,N,1,0
BNN98,1998,1998,6,A,0,0
BNN99,1999,2000,3,N,1,0
BNS07,2007,2011,10,S,4,1
BNS09,2009,2011,10,S,2,1
BNS10,2010,2010,12,S,0,0
BNT14,2014,2014,6,Q,0,0
BNT15,2015,2023,9,S,8,1
BNT16,2016,2016,10,S,0,0
BNX93,1993,2011,1,N,18,1
BNX94,1994,2008,1,N,14,1
BNX95,1995,2011,1,N,16,1
BNX96,1996,2007,,Q,11,1
BNX98,1998,2000,2,N,2,1
BNX99,1999,2000,2,N,1,0
BNY86,1986,1987,,Q,1,1
BNY87,1987,1987,6,Q,0,0
BOB23,2023,2023,5,W,0,0
BOBBY,2007,2020,,Q,13,1
BOE21,2021,2022,11,S,1,1
BOE22,2022,2022,5,Q,0,0
BOL21,2021,2022,3,N,1,0
BOL23,2023,2023,5,A,0,0
BOM04,2004,2010,10,S,6,1
BOM06,2006,2014,8,S,8,1
BON79,1979,1981,,Q,2,1
BON80,1980,1980,6,Q,0,0
BON81,1981,1987,12,S,6,1
BON83,1983,1997,3,N,14,1
BOO10,2010,2013,9,S,3,1
BOO12,2012,2013,4,N,1,0
BOO13,2013,2014,3,N,1,0
BOO15,2015,2023,11,S,8,1
BOO16,2016,2017,2,N,1,0
BOO17,2017,2018,3,N,1,0
BOO18,2018,2019,1,N,1,0
BOO20,2020,2021,2,N,1,0
BOO22,2022,2023,1,N,1,0
BORIS,2000,2009,,Q,9,1
BOSSS,1968,1981,3,A,13,1
BOT79,1979,1992,3,N,13,1
BOT81,1981,1983,3,N,2,1
BOT83,1983,1983,7,B,0,0
BOT84,1984,1986,3,N,2,1
BOT85,1985,1986,3,N,1,0
BOU09,2009,2010,11,S,1,1
BR274,1974,1988,4,N,14,1
BR276,1976,1977,3,A,1,0
BR277,1977,1977,5,Q,0,0
BR278,1978,1979,4,N,1,0
BR280,1980,1980,6,Q,0,0
BR281,1981,1982,2,N,1,0
BRA72,1972,1983,5,N,11,1
BRA73,1973,1973,6,Q,0,0
BRA74,1974,1979,10,S,5,1
BRA76,1976,1978,3,N,2,1
BRA77,1977,1988,,Q,11,1
BRA79,1979,1989,12,S,10,1
BRA80,1980,1980,6,Q,0,0
BRANN,1970,1983,4,N,13,1
BRAVO,2002,2016,,Q,14,1
BRB20,2020,2020,12,S,0,0
BRC76,1976,1980,9,S,4,1
BRC78,1978,1982,1,S,4,1
BRC80,1980,1981,2,A,1,0
BRC82,1982,1988,9,S,6,1
BRE91,1991,2001,11,S,10,1
BREAC,1966,1979,5,N,13,1
BREND,,1996,2,N,,
BRF74,1974,1982,2,N,8,1
BRF76,1976,1989,2,N,13,1
BRF79,1979,1993,3,N,14,1
BRF81,1981,1981,6,A,0,0
BRF82,1982,1983,5,N,1,1
BRG89,1989,1990,3,N,1,0
BRG90,1990,2004,3,N,14,1
BRG92,1992,1996,8,S,4,1
BRG94,1994,1995,6,Q,1,1
BRG95,1995,1997,2,N,2,1
BRG96,1996,1998,2,N,2,1
BRG98,1998,1999,4,N,1,0
BRIMS,2003,2013,,Q,10,1
BRLGS,1966,1975,4,N,9,1
BRO66,1966,1981,4,N,15,1
BRO70,1970,1982,3,N,12,1
BRO72,1972,1983,4,N,11,1
BROWH,1959,1974,,N,15,1
BROWN,2002,2012,,Q,10,1
BRS01,2001,2001,6,Q,0,0
BRS02,2002,2002,10,Q,0,0
BRS99,1999,1999,12,N,0,0
BRY06,2006,2006,6,B,0,0
BRY07,2007,2010,7,S,3,1
BRY09,2009,2014,7,S,5,1
BRY13,2013,2014,1,N,1,0
BRY15,2015,2015,5,Q,0,0
BRZ17,2017,2019,1,S,2,1
BRZ18,2018,2018,5,B,0,0
BRZ21,2021,2021,12,N,0,0
BSG14,2014,2014,5,D,0,0
BSG15,2015,2015,5,B,0,0
BSG16,2016,2019,8,S,3,1
BSG18,2018,2021,8,S,3,1
BSQ17,2017,2017,11,S,0,0
BST71,1971,1971,6,N,0,0
BST72,1972,1972,6,Q,0,0
BST73,1973,1983,9,Q,10,1
BST74,1974,1986,3,N,12,1
BST75,1975,1982,1,N,7,1
BST76,1976,1977,3,N,1,0
BST77,1977,1979,2,N,2,1
BSY02,2002,2011,10,S,9,1
BSY04,2004,2010,11,Q,6,1
BSY06,2006,2010,10,S,4,1
BTT09,2009,2010,3,N,1,0
BUA21,2021,2021,11,S,0,0
BUC77,1977,1979,1,N,2,1
BUC79,1979,1981,2,N,2,1
BUC81,1981,1981,6,D,0,0
BUC82,1982,2000,2,N,18,1
BUC83,1983,1984,1,N,1,0
BUC84,1984,1985,3,N,1,0
BUC85,1985,1985,7,Q,0,0
BUC86,1986,1989,2,N,3,1
BUC87,1987,1989,1,N,2,1
BUC88,1988,1988,6,B,0,0
BUC89,1989,1989,6,B,0,0
BUDDY,1967,1979,1,N,12,1
BUL65,1965,1980,1,N,15,1
BUL70,1970,1984,1,N,14,1
BUL71,1971,1986,1,N,15,1
BUL72,1972,1984,4,N,12,1
BUL73,1973,1989,6,C,16,1
BUL74,1974,1974,6,Q,0,0
BUL75,1975,1976,4,N,1,0
BULBY,1996,2006,,,10,1
BULGY,1961,1976,3,N,15,1
BUM04,2004,2005,1,Q,1,0
BUM06,2006,2012,6,C,6,1
BUM07,2007,2007,6,Q,0,0
BUM08,2008,2008,9,Q,0,0
BUM09,2009,2010,4,N,1,0
BUS90,1990,1992,12,S,2,1
BUS92,1992,2001,11,S,9,1
BUT00,2000,2001,4,A,1,0
BUT02,2002,2017,11,S,15,1
BUT03,2003,2005,2,N,2,1
BUT04,2004,2005,3,N,1,0
BUT05,2005,2006,4,N,1,0
BUT06,2006,2012,3,N,6,1
BUT07,2007,2008,2,N,1,0
BUT96,1996,2008,12,N,12,1
BUT98,1998,2005,4,N,7,1
BUT99,1999,2000,2,N,1,0
BUZZA,1992,2004,,Q,12,1
BWBLS,1968,1974,8,Q,6,1
BYL19,2019,2021,11,S,2,1
BYL21,2021,2021,11,S,0,0
BZK15,2015,2015,6,Q,0,0
BZK16,2016,2017,11,S,1,1
CAB17,2017,2017,11,S,0,0
CAESA,1960,1976,2,N,16,1
CAF89,1989,2001,12,S,12,1
CAF91,1991,1993,3,N,2,1
CAF93,1993,2002,10,S,9,1
CAF95,1995,1995,,Q,0,0
CAF96,1996,2000,4,N,4,1
CAF98,1998,2004,2,S,6,1
CAI69,1969,1970,,Q,1,1
CAI70,1970,1977,9,S,7,1
CAI71,1971,1974,8,S,3,1
CAI72,1972,1979,9,S,7,1
CAI73,1973,1973,6,Q,0,0
CAI74,1974,1979,8,S,5,1
CAI77,1977,1977,8,Q,0,0
CAILL,1958,1978,3,N,20,1
CAL78,1978,1979,3,N,1,0
CAL79,1979,1980,,Q,1,1
CAL82,1982,1995,4,N,13,1
CAL84,1984,2000,2,N,16,1
CAL85,1985,1988,6,C,3,1
CAL87,1987,1989,2,N,2,1
CAM11,2011,2013,9,S,2,1
CAM12,2012,2013,9,S,1,1
CAM13,2013,2017,9,S,4,1
CAM14,2014,2014,6,B,0,0
CAM15,2015,2015,11,S,0,0
CAN77,1977,1978,1,N,1,0
CAN79,1979,1979,6,D,0,0
CAN80,1980,1991,10,Q,11,1
CAN81,1981,1993,4,N,12,1
CAN82,1982,1992,2,N,10,1
CAN83,1983,1989,1,N,6,1
CAN84,1984,1984,6,E,0,0
CAN86,1986,1986,,Q,0,0
CAN87,1987,1994,,Q,7,1
CAN89,1989,1990,,Q,1,1
CAP82,1982,1982,9,B,0,0
CAP84,1984,1999,2,N,15,1
CAP85,1985,1986,3,N,1,0
CAP88,1988,1988,5,B,0,0
CAR79,1979,1981,2,N,2,1
CAR83,1983,1983,6,Q,0,0
CAR85,1985,1986,,Q,1,1
CASPR,2001,2009,,Q,8,1
CASSI,1965,1976,1,N,11,1
CAY02,2002,2002,6,Q,0,0
CAY04,2004,2006,7,S,2,1
CAY05,2005,2005,11,S,0,0
CBH11,2011,2017,8,S,6,1
CBH13,2013,2015,12,S,2,1
CBH15,2015,2019,9,S,4,1
CBH16,2016,2018,12,S,2,1
CBL06,2006,2007,1,N,1,0
CBL07,2007,2008,3,N,1,0
CBL09,2009,2010,4,N,1,0
CBS11,2011,2013,9,S,2,1
CBS13,2013,2022,6,G,9,1
CBS17,2017,2017,12,N,0,0
CBT12,2012,2012,6,Q,0,0
CBT13,2013,2013,5,Q,0,0
CBT14,2014,2014,1,S,0,0
CCA01,2001,2001,12,S,0,0
CCH10,2010,2013,7,S,3,1
CCH15,2015,2019,8,S,4,1
CCH16,2016,2022,8,S,6,1
CCH17,2017,2018,2,N,1,0
CCH19,2019,2019,6,Q,0,0
CCH20,2020,2021,2,N,1,0
CCK07,2007,2018,12,S,11,1
CCK08,2008,2011,6,C,3,1
CCL06,2006,2006,5,E,0,0
CCL07,2007,2009,3,N,2,1
CCO87,1987,2001,4,N,14,1
CCO89,1989,1989,6,Q,0,0
CCO90,1990,1992,10,S,2,1
CCO91,1991,1993,4,N,2,1
CCO94,1994,1995,5,N,1,1
CCO95,1995,2002,7,S,7,1
CCO97,1997,1998,2,N,1,0
CCT16,2016,2018,1,S,2,1
CDN11,2011,2011,6,A,0,0
CDN13,2013,2014,2,N,1,0
CDN14,2014,2015,3,N,1,0
CDN15,2015,2021,10,S,6,1
CDN16,2016,2017,1,N,1,0
CDN17,2017,2017,7,Q,0,0
CDN18,2018,2022,7,S,4,1
CDN20,2020,2020,6,B,0,0
CDY19,2019,2019,7,Q,0,0
CDY21,2021,2022,4,N,1,0
CECIL,1964,1977,1,N,13,1
CED00,2000,2013,11,S,13,1
CED02,2002,2009,12,S,7,1
CED03,2003,2005,3,N,2,1
CED04,2004,2010,12,S,6,1
CED99,1999,2009,1,S,10,1
CEDRI,1995,2010,4,N,15,1
CEE98,1998,1998,6,Q,0,0
CEL01,2001,2002,2,N,1,0
CEL94,1994,1994,11,N,0,0
CEL95,1995,1998,6,C,3,1
CEL97,1997,2006,9,S,9,1
CEL99,1999,2000,4,N,1,0
CER06,2006,2006,6,Q,0,0
CER07,2007,2007,5,Q,0,0
CER08,2008,2011,10,S,3,1
CES16,2016,2016,5,Q,0,0
CES19,2019,2022,11,S,3,1
CET06,2006,2007,3,N,1,0
CET07,2007,2008,3,N,1,0
CET08,2008,2009,3,N,1,0
CET09,2009,2010,2,N,1,0
CET10,2010,2011,4,N,1,0
CET11,2011,2012,2,N,1,0
CET12,2012,2018,1,S,6,1
CET13,2013,2013,5,B,0,0
CET14,2014,2015,4,N,1,0
CET16,2016,2016,6,A,0,0
CET17,2017,2018,3,N,1,0
CET22,2022,2023,3,N,1,0
CFI86,1986,1986,9,B,0,0
CFI88,1988,1989,2,N,1,0
CFI89,1989,1990,3,N,1,0
CFI91,1991,1992,4,N,1,0
CFI92,1992,1992,7,Q,0,0
CFI94,1994,2009,2,N,15,1
CFU80,1980,1981,3,N,1,0
CFU82,1982,1995,3,N,13,1
CFU87,1987,1998,2,N,11,1
CFU89,1989,1991,4,N,2,1
CGH00,2000,2010,8,C,10,1
CGH91,1991,1993,2,N,2,1
CGH93,1993,1994,3,N,1,0
CGH94,1994,2010,12,N,16,1
CGH95,1995,2009,3,N,14,1
CGH97,1997,2005,10,S,8,1
CGH99,1999,1999,5,Q,0,0
CHA92,1992,1993,2,N,1,0
CHD05,2005,2017,2,N,12,1
CHD06,2006,2007,3,N,1,0
CHD07,2007,2007,6,B,0,0
CHD11,2011,2011,6,B,0,0
CHD13,2013,2013,5,B,0,0
CHE73,1973,1982,2,N,9,1
CHE74,1974,1975,1,N,1,0
CHE76,1976,1985,10,Q,9,1
CHE77,1977,1979,3,N,2,1
CHE78,1978,1978,7,A,0,0
CHE80,1980,1993,3,N,13,1
CHE81,1981,1981,10,Q,0,0
CHE82,1982,1996,10,Q,14,1
CHE84,1984,1986,3,N,2,1
CHEKO,2013,2021,9,S,8,1
CHEST,1981,1992,4,N,11,1
CHF04,2004,2004,6,Q,0,0
CHF07,2007,2011,11,S,4,1
CHI87,1987,1989,3,N,2,1
CHI89,1989,1995,11,S,6,1
CHI91,1991,1991,6,Q,0,0
CHK07,2007,2017,3,N,10,1
CHK09,2009,2018,9,S,9,1
CHK12,2012,2017,11,S,5,1
CHK15,2015,2017,11,S,2,1
CHK18,2018,2019,2,S,1,
CHL00,2000,2003,9,S,3,1
