Code,BirthYear,DeathYear,DeathMonth,DeathType,AgeWhenDied,FirstWinterSurvival
CHL02,2002,2003,10,S,1,1
CHL03,2003,2003,10,S,0,0
CHL98,1998,2002,7,S,4,1
CHL99,1999,1999,6,Q,0,0
CHM08,2008,2009,1,Q,1,0
CHM10,2010,2022,10,S,12,1
CHM12,2012,2012,5,Q,0,0
CHM13,2013,2022,6,A,9,1
CHM14,2014,2019,7,S,5,1
CHM15,2015,2020,10,S,5,1
CHN01,2001,2008,8,S,7,1
CHN03,2003,2018,3,N,15,1
CHN04,2004,2004,5,Q,0,0
CHN05,2005,2009,10,S,4,1
CHN06,2006,2019,12,S,13,1
CHN08,2008,2010,9,S,2,1
CHO72,1972,1981,10,A,9,1
CHO73,1973,1988,1,N,15,1
CHO74,1974,1974,6,A,0,0
CHO75,1975,1986,7,Q,11,1
CHO76,1976,1981,7,S,5,1
CHO77,1977,1979,4,N,2,1
CHO78,1978,1980,2,N,2,1
CHOCH,1964,1980,3,N,16,1
CHP89,1989,1989,6,Q,0,0
CHP90,1990,2002,7,S,12,1
CHP91,1991,1991,6,B,0,0
CHP92,1992,1993,2,N,1,0
CHP94,1994,2004,8,C,10,1
CHRIS,1974,1984,4,N,10,1
CHU95,1995,2000,8,S,5,1
CHU97,1997,1997,10,S,0,0
CHY12,2012,2016,11,S,4,1
CHY14,2014,2017,12,S,3,1
CIN76,1976,1988,4,N,12,1
CIN78,1978,1988,1,N,10,1
CIN80,1980,1982,3,N,2,1
CIN82,1982,1983,4,N,1,0
CLA82,1982,1983,3,N,1,0
CLA83,1983,1984,4,N,1,0
CLA85,1985,1999,4,N,14,1
CLA87,1987,1993,2,N,6,1
CLA89,1989,1990,3,N,1,0
CLC75,1975,1986,,Q,11,1
CLC76,1976,1976,6,E,0,0
CLC78,1978,1984,7,C,6,1
CLC80,1980,1993,3,N,13,1
CLC81,1981,1981,7,Q,0,0
CLC82,1982,1989,2,N,7,1
CLC83,1983,1989,8,S,6,1
CLC85,1985,1987,3,N,2,1
CLC86,1986,1986,6,Q,0,0
CLC87,1987,1987,6,Q,0,0
CLC89,1989,1989,6,Q,0,0
CLC90,1990,1990,7,Q,0,0
CLD81,1981,1981,5,A,0,0
CLE70,1970,1973,6,C,3,1
CLE71,1971,1971,5,Q,0,0
CLE72,1972,1982,3,N,10,1
CLE73,1973,1980,2,A,7,1
CLE74,1974,1986,4,N,12,1
CLE75,1975,1987,3,N,12,1
CLE76,1976,1987,3,N,11,1
CLE77,1977,1990,3,N,13,1
CLE79,1979,1979,9,Q,0,0
CLE80,1980,1980,6,Q,0,0
CLE81,1981,1981,12,N,0,0
CLEOP,1964,1982,2,N,18,1
CLK04,2004,2022,1,N,18,1
CLK06,2006,2012,1,S,6,1
CLK08,2008,2008,5,,0,0
CLL01,2001,2001,7,Q,0,0
CLL02,2002,2008,1,S,6,1
CLL03,2003,2003,6,Q,0,0
CLL04,2004,2005,2,N,1,0
CLL07,2007,2009,3,Q,2,1
CLM78,1978,1978,6,D,0,0
CLM79,1979,1991,3,N,12,1
CLM80,1980,1982,3,N,2,1
CLM82,1982,1988,11,S,6,1
CLM84,1984,1986,5,N,2,1
CLM85,1985,1986,3,N,1,0
CLO93,1993,1995,3,N,2,1
CLO94,1994,1995,3,N,1,0
CLO95,1995,2006,4,N,11,1
CLO96,1996,2012,1,N,16,1
CLO97,1997,1997,6,B,0,0
CLR06,2006,2006,6,Q,0,0
CLR07,2007,2008,3,N,1,0
CLR09,2009,2010,3,N,1,0
CLR11,2011,2011,9,Q,0,0
CLR13,2013,2014,3,N,1,0
CLR16,2016,2017,1,N,1,0
CLS16,2016,2021,9,S,5,1
CLS17,2017,2020,11,S,3,1
CLS19,2019,2022,12,S,3,1
CLS20,2020,2022,12,S,2,1
CLT00,2000,2001,2,,1,0
CLT91,1991,1991,9,Q,0,0
CLT93,1993,1994,4,N,1,0
CLT94,1994,1995,3,N,1,0
CLT95,1995,2010,3,N,15,1
CLT96,1996,1999,2,N,3,1
CLT97,1997,2012,2,N,15,1
CLT98,1998,1999,2,N,1,0
CLU97,1997,1997,6,B,0,0
CLV06,2006,2012,8,S,6,1
CLV09,2009,2016,9,S,7,1
CLW00,2000,2017,2,N,17,1
CLW01,2001,2001,6,Q,0,0
CLW04,2004,2005,3,N,1,0
CLW06,2006,2009,9,S,3,1
CLW07,2007,2008,3,N,1,0
CLW10,2010,2010,12,S,0,0
CLW97,1997,1997,6,D,0,0
CLW98,1998,1998,8,Q,0,0
CLW99,1999,2000,1,N,1,0
CLYDE,1970,1981,2,N,11,1
CMA14,2014,2021,9,S,7,1
CMA21,2021,2022,2,S,1,
CMB16,2016,2017,3,N,1,0
CME23,2023,2023,7,Q,0,0
CMO77,1977,1990,3,N,13,1
CMO78,1978,1991,2,N,13,1
CMR01,2001,2001,6,Q,0,0
CMR02,2002,2006,10,S,4,1
CMR04,2004,2005,3,N,1,0
CMR05,2005,2015,4,N,10,1
CMR11,2011,2012,2,N,1,0
CMT05,2005,2005,5,A,0,0
CMT06,2006,2011,10,S,5,1
CMT08,2008,2010,1,S,2,1
CMT10,2010,2013,1,S,3,1
CMT11,2011,2013,7,S,2,1
CMT14,2014,2014,11,S,0,0
CND02,2002,2004,11,S,2,1
CND03,2003,2012,1,S,9,1
CND04,2004,2015,6,C,11,1
CND06,2006,2023,1,N,17,1
CND07,2007,2015,10,R,8,1
CND08,2008,2013,7,S,5,1
CND13,2013,2015,2,N,2,1
CND14,2014,2015,3,N,1,0
CND15,2015,2017,3,N,2,1
CNE04,2004,2005,12,S,1,1
CNE05,2005,2005,12,S,0,0
CNK04,2004,2021,,Q,17,1
CNK09,2009,2009,6,Q,0,0
CNK16,2016,2016,5,B,0,0
CNM99,1999,1999,11,S,0,0
CNN04,2004,2005,1,N,1,0
CNN06,2006,2008,2,N,2,1
CNN08,2008,2008,12,N,0,0
CNN09,2009,2010,4,N,1,0
CNN11,2011,2012,3,N,1,0
CNT10,2010,2013,9,S,3,1
COB77,1977,1981,8,S,4,1
COB80,1980,1996,11,N,16,1
COB82,1982,1985,,Q,3,1
COB84,1984,1986,,Q,2,1
COB85,1985,1986,,Q,1,1
COB87,1987,1987,6,Q,0,0
COB88,1988,1989,2,N,1,0
COC72,1972,1985,,Q,13,1
COC74,1974,1985,10,A,11,1
COC75,1975,1986,,Q,11,1
COC76,1976,1986,,Q,10,1
COCKL,1969,1985,11,N,16,1
COF01,2001,2014,1,S,13,1
COI77,1977,1988,3,N,11,1
COINH,1972,1986,3,N,14,1
COL72,1972,1992,3,N,20,1
COL73,1973,1986,3,N,13,1
COL74,1974,1989,2,N,15,1
COL75,1975,1979,12,N,4,1
COL76,1976,1982,9,S,6,1
COL78,1978,1986,4,N,8,1
COL79,1979,1989,3,N,10,1
COL80,1980,1997,1,N,17,1
COL82,1982,1983,4,N,1,0
COLLE,1969,1983,3,N,14,1
COM14,2014,2017,6,S,3,1
COM16,2016,2017,12,S,1,1
COM17,2017,2017,6,Q,0,0
COM18,2018,2023,11,S,5,1
COM19,2019,2022,12,S,3,1
COM20,2020,2022,12,S,2,1
COM21,2021,2022,12,S,1,1
COM22,2022,2022,6,Q,0,0
COM23,2023,2023,6,,0,0
CONAR,1968,1981,1,A,13,1
CONFI,1982,1997,4,N,15,1
CONGA,1967,1977,5,Q,10,1
COO95,1995,1995,6,Q,0,0
COO96,1996,1997,2,N,1,0
COO97,1997,1999,2,N,2,1
COO98,1998,2000,3,N,2,1
COO99,1999,1999,3,,0,0
COP85,1985,1986,1,N,1,0
COQ94,1994,2002,10,S,8,1
COQ95,1995,1996,11,S,1,1
COR76,1976,1976,6,E,0,0
COR77,1977,1977,6,Q,0,0
COR78,1978,1978,6,Q,0,0
COR80,1980,1980,6,Q,0,0
COR81,1981,1983,4,N,2,1
CORKS,1971,1982,3,N,11,1
COT78,1978,1982,1,N,4,1
COT79,1979,1985,,Q,6,1
COU90,1990,1990,6,B,0,0
COU91,1991,1992,3,N,1,0
COU94,1994,1994,6,A,0,0
COU95,1995,1995,6,A,0,0
COU96,1996,1997,3,N,1,0
COW79,1979,1991,10,S,12,1
COW80,1980,1986,8,S,6,1
COY71,1971,1975,8,S,4,1
COY72,1972,1976,9,S,4,1
COY74,1974,1974,7,E,0,0
COY75,1975,1981,11,Q,6,1
COY76,1976,1989,2,N,13,1
COYHI,1963,1977,11,S,14,1
CPBPT,1975,1989,3,N,14,1
CPP99,1999,2001,7,S,2,1
CPS00,2000,2002,10,S,2,1
CPS97,1997,2005,11,S,8,1
CPS99,1999,1999,12,N,0,0
CPY06,2006,2008,2,N,2,1
CPY08,2008,2009,3,N,1,0
CPY09,2009,2012,9,S,3,1
CPY12,2012,2012,5,Q,0,0
CPY13,2013,2014,3,N,1,0
CPY18,2018,2018,6,Q,0,0
CPY19,2019,2022,4,N,3,1
CPY20,2020,2021,1,N,1,0
CRA80,1980,1980,9,Q,0,0
CRA81,1981,1986,4,N,5,1
CRA82,1982,1984,3,N,2,1
CRA83,1983,1983,10,Q,0,0
CRA84,1984,1986,3,N,2,1
CRA85,1985,1986,4,N,1,0
CRA86,1986,1988,1,N,2,1
CRA87,1987,1988,4,N,1,0
CRAGS,1988,2000,3,N,12,1
CRB88,1988,1989,3,N,1,0
CRB90,1990,1993,3,N,3,1
CRB91,1991,1992,3,N,1,0
CRB93,1993,1993,6,Q,0,0
CRB95,1995,2011,4,Q,16,1
CRB97,1997,2006,,Q,9,1
CRC91,1991,2002,10,S,11,1
CRD01,2001,2001,11,S,0,0
CRD96,1996,1999,11,S,3,1
CRE80,1980,1992,12,N,12,1
CRE82,1982,1983,4,N,1,0
CRE84,1984,1989,10,Q,5,1
CRE85,1985,1985,9,Q,0,0
CRL88,1988,1988,5,B,0,0
CRM01,2001,2014,2,S,13,1
CRM05,2005,2009,1,S,4,1
CRM07,2007,2009,1,S,2,1
CRM99,1999,2010,12,S,11,1
CRN91,1991,1991,10,S,0,0
CRO88,1988,1989,3,N,1,0
CRO90,1990,1999,4,N,9,1
CRO92,1992,1993,3,N,1,0
CROSS,1984,1993,11,S,9,1
CROTT,1966,1982,2,N,16,1
CRS92,1992,1995,11,S,3,1
CRS95,1995,1995,7,N,0,0
CRT70,1970,1971,,N,1,1
CRT71,1971,1979,10,A,8,1
CRT72,1972,1982,3,N,10,1
CRT73,1973,1974,3,N,1,0
CRT74,1974,1986,3,N,12,1
CRT75,1975,1976,3,N,1,0
CRT76,1976,1993,1,N,17,1
CRT77,1977,1989,4,N,12,1
CRT79,1979,1980,3,N,1,0
CRT81,1981,1981,12,N,0,0
CRX10,2010,2011,4,N,1,0
CRX12,2012,2014,8,S,2,1
CRY83,1983,1983,6,Q,0,0
CRY90,1990,1998,6,S,8,1
CSH07,2007,2007,6,B,0,0
CSH08,2008,2009,3,N,1,0
CSH09,2009,2012,9,S,3,1
CSH11,2011,2012,1,N,1,0
CSH12,2012,2013,4,N,1,0
CSH13,2013,2013,12,N,0,0
CSH14,2014,2014,12,N,0,0
CSH15,2015,2015,6,B,0,0
CSH16,2016,2017,1,N,1,0
CSK01,2001,2002,3,N,1,0
CSK03,2003,2004,1,N,1,0
CSK93,1993,2008,3,N,15,1
CSK94,1994,1994,5,A,0,0
CSK95,1995,2009,3,N,14,1
CSK97,1997,1999,3,N,2,1
CSK98,1998,2005,4,N,7,1
CSK99,1999,2008,3,N,9,1
CUC84,1984,1997,2,N,13,1
CUC85,1985,1986,4,N,1,0
CUC87,1987,1996,7,N,9,1
CUC88,1988,1988,7,Q,0,0
CUC90,1990,1993,3,N,3,1
CUC91,1991,2007,3,N,16,1
CUC93,1993,1994,3,N,1,0
CUC94,1994,1995,3,N,1,0
CUM00,2000,2002,8,S,2,1
CUM02,2002,2002,11,S,0,0
CUM95,1995,1999,7,S,4,1
CUM97,1997,2000,11,S,3,1
CUM98,1998,2001,10,S,3,1
CUR78,1978,1992,3,N,14,1
CUR79,1979,1979,8,Q,0,0
CUR80,1980,1980,6,D,0,0
CUR81,1981,1993,3,N,12,1
CUR83,1983,1986,6,Q,3,1
CUR84,1984,1995,3,N,11,1
CUR85,1985,1994,10,N,9,1
CWR84,1984,1986,4,N,2,1
CWR86,1986,1987,1,N,1,0
CWR87,1987,1988,3,N,1,0
CWR88,1988,1989,2,N,1,0
CWR90,1990,1991,2,N,1,0
CWR91,1991,1992,2,N,1,0
CWR92,1992,1992,12,N,0,0
CYA09,2009,2009,6,Q,0,0
CYA10,2010,2010,6,Q,0,0
CYA12,2012,2013,1,S,1,
CYP20,2020,2023,8,S,3,1
DAI08,2008,2008,10,Q,0,0
DAI12,2012,2018,10,S,6,1
DAI14,2014,2014,12,N,0,0
DAK13,2013,2014,3,N,1,0
DAK14,2014,2014,6,Q,0,0
DAK15,2015,2020,10,S,5,1
DAK16,2016,2020,7,G,4,1
DAK19,2019,2019,5,Q,0,0
DAK22,2022,2022,6,Q,0,0
DAN86,1986,1987,3,N,1,0
DAN87,1987,1987,6,Q,0,0
DAN90,1990,2005,4,N,15,1
DAN91,1991,1992,3,N,1,0
DAN92,1992,1993,1,N,1,0
DAN93,1993,1993,7,A,0,0
DAN94,1994,1995,3,N,1,0
DAN95,1995,2018,4,N,23,1
DAN96,1996,1997,3,N,1,0
DAN97,1997,1998,4,N,1,0
DAN99,1999,2000,2,N,1,0
DANDP,2001,2014,,Q,13,1
DAR77,1977,1979,4,N,2,1
DAR79,1979,1980,5,N,1,1
DAR82,1982,1983,3,N,1,0
DARWI,2004,2012,,Q,8,1
DAW09,2009,2013,10,S,4,1
DAW14,2014,2015,3,N,1,0
DAW16,2016,2018,4,N,2,1
DBL89,1989,1998,10,S,9,1
DEC79,1979,1983,11,Q,4,1
DEC81,1981,1984,10,A,3,1
DEG89,1989,1990,3,N,1,0
DEN11,2011,2017,1,S,6,1
DEN13,2013,2013,5,Q,0,0
DEO03,2003,2009,1,S,6,1
DEO05,2005,2008,11,N,3,1
DEO07,2007,2013,7,S,6,1
DEO08,2008,2008,6,Q,0,0
DEW16,2016,2016,6,Q,0,0
DEW17,2017,2018,3,N,1,0
DEW20,2020,2020,5,Q,0,0
DEW21,2021,2022,4,N,1,0
DHA94,,1994,1,N,,
DIAMO,1977,1989,3,N,12,1
DIC88,1988,1989,2,N,1,0
DIC89,1989,1992,2,S,3,1
DIC90,1990,2002,,Q,12,1
DIC91,1991,1992,3,N,1,0
DIC92,1992,1993,3,N,1,0
DIC93,1993,1995,3,N,2,1
DIC94,1994,2011,1,A,17,1
DIC95,1995,2016,10,N,21,1
DIC96,1996,1999,8,A,3,1
DIC98,1998,1999,3,N,1,0
DIC99,1999,2000,1,N,1,0
DICKS,1970,1982,3,N,12,1
DID04,2004,2005,2,N,1,0
DID06,2006,2019,11,S,13,1
DID08,2008,2016,11,S,8,1
DID09,2009,2014,1,S,5,1
DID12,2012,2014,1,S,2,1
DID14,2014,2015,4,N,1,0
DID15,2015,2015,3,Q,0,0
DIL01,2001,2005,11,S,4,1
DIL95,1995,1995,12,N,0,0
DIL97,1997,1997,7,Q,0,0
DIL99,1999,2007,10,S,8,1
DIT88,1988,1988,6,Q,0,0
DIT90,1990,1990,6,Q,0,0
DIT91,1991,1993,1,N,2,1
DIT92,1992,1993,1,N,1,0
DMS01,2001,2001,11,S,0,0
DOC00,2000,2002,2,N,2,1
DOC01,2001,2002,1,N,1,0
DOC03,2003,2004,2,N,1,0
DOC92,1992,1992,6,Q,0,0
DOC93,1993,1995,4,N,2,1
DOC94,1994,2009,3,N,15,1
DOC95,1995,2008,,Q,13,1
DOC96,1996,2012,5,N,16,1
DOC97,1997,2001,9,Q,4,1
DOC98,1998,1999,3,N,1,0
DOC99,1999,2000,3,N,1,0
DOD86,1986,1986,6,B,0,0
DOO90,1990,1991,2,N,1,0
DOR75,1975,1979,10,S,4,1
DOR76,1976,1976,6,D,0,0
DOR77,1977,1982,9,S,5,1
DOR78,1978,1991,7,A,13,1
DOR80,1980,1982,3,N,2,1
DOR82,1982,1991,12,S,9,1
DOT00,2000,2001,3,N,1,0
DOT02,2002,2014,3,N,12,1
DOT04,2004,2005,4,N,1,0
DOT97,1997,1999,3,N,2,1
DOW01,2001,2001,6,Q,0,0
DOW99,1999,1999,6,B,0,0
DPU95,1995,2004,8,S,9,1
DPU98,1998,1998,10,S,0,0
DRE12,2012,2018,10,S,6,1
DRE14,2014,2021,8,S,7,1
DRE15,2015,2018,10,S,3,1
DRE16,2016,2016,5,Q,0,0
DRO21,2021,2022,3,N,1,0
DRP03,2003,2003,6,Q,0,0
DRP04,2004,2005,11,S,1,1
DRP05,2005,2005,11,S,0,0
DSA07,2000,2007,10,A,7,1
DSA97,1983,1997,4,,14,1
DSA98,1994,1998,4,Q,4,1
DSA99,,1999,3,Q,,
DSB18,2011,2018,8,S,7,1
DSD17,2004,2018,3,N,14,1
DTN04,2004,2009,12,S,5,1
DTN06,2006,2006,6,Q,0,0
DUB06,2006,2006,10,Q,0,0
DUB10,2010,2010,7,Q,0,0
DUB11,2011,2018,11,S,7,1
DUB12,2012,2013,4,S,1,
DUB13,2013,2016,11,S,3,1
DUB14,2014,2018,11,S,4,1
DUB15,2015,2020,12,S,5,1
DUB16,2016,2018,1,S,2,1
DUI86,1986,1986,6,B,0,0
DUI87,1987,1995,9,S,8,1
DUI89,1989,1992,12,S,3,1
DUI91,1991,1991,12,S,0,0
DUN87,1987,1988,1,N,1,0
DUN89,1989,2002,3,N,13,1
DUN91,1991,1993,3,N,2,1
DUN93,1993,1994,3,N,1,0
DUN94,1994,1995,3,N,1,0
DUNST,1986,1998,12,Q,12,1
EBO87,1987,1987,6,Q,0,0
EBO88,1988,1989,6,N,1,1
EBO90,1990,2004,4,N,14,1
EBO92,1992,1993,2,N,1,0
EDA09,2009,2010,3,N,1,0
EDA10,2010,2010,10,Q,0,0
EDA13,2013,2013,5,A,0,0
EDA14,2014,2015,6,N,1,1
EDA16,2016,2017,1,N,1,0
EDD13,2013,2021,12,S,8,1
EDD14,2014,2019,10,S,5,1
EDD18,2018,2019,1,S,1,
EDD19,2019,2019,6,Q,0,0
EGR90,1990,1990,6,Q,0,0
EGR91,1991,2005,3,N,14,1
EGR93,1993,2006,1,N,13,1
EGR94,1994,1995,1,N,1,0
EGR95,1995,2008,1,S,13,1
EGR96,1996,2002,,Q,6,1
EID01,2001,2010,2,N,9,1
EID03,2003,2018,1,N,15,1
EID05,2005,2007,1,N,2,1
EID07,2007,2008,3,N,1,0
EID09,2009,2010,1,N,1,0
EID97,1997,1999,3,N,2,1
EIF81,1981,1993,3,N,12,1
ELA15,2015,2017,3,N,2,1
ELA17,2017,2018,2,N,1,0
ELE91,1991,1991,6,Q,0,0
ELE92,1992,1992,9,Q,0,0
ELF83,1983,1983,7,B,0,0
ELF84,1984,1984,7,B,0,0
ELG66,1966,1978,11,S,12,1
ELG68,1968,1982,2,N,14,1
ELG70,1970,1971,,N,1,1
ELG71,1971,1983,4,N,12,1
ELG72,1972,1972,7,Q,0,0
ELG73,1973,1973,6,Q,0,0
ELGRE,1959,1973,11,N,14,1
ELI19,2019,2019,6,Q,0,0
ELK17,2017,2021,12,S,4,1
ELK18,2018,2023,10,S,5,1
ELK19,2019,2021,8,S,2,1
ELK21,2021,2022,10,S,1,1
ELSIV,1968,1979,4,N,11,1
EMB08,2008,2013,12,S,5,1
EMB10,2010,2013,8,S,3,1
EMB12,2012,2020,1,S,8,1
EMB13,2013,2013,12,N,0,0
EMB14,2014,2019,9,S,5,1
EMB15,2015,2015,6,,0,0
EME21,2021,2021,11,S,0,0
EMU15,2015,2016,3,N,1,0
EMU16,2016,2017,3,N,1,0
EMU20,2020,2023,9,S,3,1
EMU21,2021,2023,2,S,2,1
ENGLE,2001,2009,,Q,8,1
EOL86,1986,1992,9,Q,6,1
EOL88,1988,1988,6,D,0,0
EOL91,1991,1991,10,Q,0,0
EQU92,1992,1993,2,N,1,0
ESP05,2005,2005,6,Q,0,0
ETHEL,1964,1979,3,Q,15,1
ETN01,2001,2003,9,S,2,1
ETN03,2003,2005,9,S,2,1
ETN97,1997,1999,8,S,2,1
EXO85,1985,1985,6,B,0,0
FAG77,1977,1978,3,N,1,0
FAG79,1979,1989,3,N,10,1
FAG81,1981,1982,2,N,1,0
FAL03,2003,2009,10,S,6,1
FAL04,2004,2004,8,B,0,0
FAL98,1998,1998,6,Q,0,0
FAL99,1999,2009,11,S,10,1
FAMIL,1970,1977,9,S,7,1
FAN83,1983,1984,2,N,1,0
FAN85,1985,2000,4,N,15,1
FAN86,1986,1987,4,N,1,0
FAN87,1987,1989,4,N,2,1
FAN88,1988,2000,3,N,12,1
FAN90,1990,2008,2,N,18,1
FAN92,1992,1992,5,E,0,0
FAN93,1993,2005,5,N,12,1
FAN94,1994,1994,6,W,0,0
FAN95,1995,1995,8,Q,0,0
FAN96,1996,1996,5,Q,0,0
FAT20,2020,2020,6,B,0,0
FBB22,2022,2022,6,B,0,0
FDL00,2000,2015,3,N,15,1
FDL03,2003,2016,11,N,13,1
FDL05,2005,2005,7,Q,0,0
FDL93,1993,1995,3,N,2,1
FDL94,1994,2004,1,S,10,1
FDL96,1996,2004,3,N,8,1
FDL99,1999,2016,3,N,17,1
FEA85,1985,1986,1,N,1,0
FEA88,1988,1989,2,N,1,0
FEA89,1989,1990,3,N,1,0
FEA90,1990,1996,7,S,6,1
FEA91,1991,1992,3,N,1,0
FEA93,1993,1998,4,A,5,1
FEA94,1994,2002,10,A,8,1
FEA95,1995,2002,9,Q,7,1
FEA96,1996,1996,6,A,0,0
FEA97,1997,1999,3,N,2,1
FEA98,1998,1998,8,Q,0,0
FEA99,1999,1999,9,Q,0,0
FEE70,1970,1975,8,S,5,1
FEE71,1971,1983,3,N,12,1
FEE72,1972,1976,9,S,4,1
FEE73,1973,1983,3,N,10,1
FEE74,1974,1975,3,N,1,0
FEE75,1975,1981,3,N,6,1
FEEDE,1966,1976,3,N,10,1
FEM73,1973,1973,6,B,0,0
FEN86,1986,1992,8,S,6,1
FEN89,1989,1999,10,S,10,1
FEN90,1990,2003,,Q,13,1
FEN91,1991,1997,8,S,6,1
FEN92,1992,1993,4,N,1,0
FERDI,1966,1980,3,N,14,1
FIB12,2012,2013,11,S,1,1
FIB13,2013,2013,11,S,0,0
FID82,1982,1983,3,N,1,0
FID83,1983,1984,4,N,1,0
FID84,1984,1986,4,N,2,1
FID85,1985,1986,3,N,1,0
FID86,1986,1993,3,N,7,1
FID87,1987,1988,3,N,1,0
FID88,1988,1989,3,N,1,0
FID89,1989,1990,2,N,1,0
FID90,1990,1991,3,N,1,0
FIE87,1987,1989,3,N,2,1
FIE90,1990,1991,5,N,1,1
FIE92,1992,1993,2,N,1,0
FIJ98,1998,1999,3,N,1,0
FIL85,1985,1985,6,Q,0,0
FIL86,1986,1997,8,Q,11,1
FIL90,1990,1996,11,S,6,1
FIL92,1992,1995,9,S,3,1
FIN93,1993,2001,11,S,8,1
FIN97,1997,1999,10,S,2,1
FIN99,1999,1999,6,Q,0,0
FINGA,1966,1978,3,A,12,1
FIR74,1974,1974,5,B,0,0
FIR75,1975,1988,1,N,13,1
FIR76,1976,1976,6,Q,0,0
FIR77,1977,1979,3,N,2,1
FIR78,1978,1978,6,D,0,0
FIR79,1979,1980,3,Q,1,0
FIR81,1981,1982,3,N,1,0
FIR83,1983,1984,1,N,1,0
FIS85,1985,1986,3,N,1,0
FLA84,1984,1984,6,Q,0,0
FLA85,1985,1992,11,S,7,1
FLA86,1986,1986,6,Q,0,0
FLA87,1987,1989,3,N,2,1
FLA90,1990,1998,7,S,8,1
FLA91,1991,1993,3,N,2,1
FLA93,1993,2008,,,15,1
FLG00,2000,2015,,Q,15,1
FLG95,1995,1995,6,B,0,0
FLG96,1996,1996,5,Q,0,0
FLG97,1997,2000,10,Q,3,1
FLG98,1998,2014,2,N,16,1
FLINT,1976,1988,3,N,12,1
FLM15,2015,2018,8,S,3,1
FLM16,2016,2020,9,S,4,1
FLM19,2019,2020,1,S,1,
FLR99,1999,1999,10,B,0,0
FLU10,2010,2011,4,N,1,0
FLU12,2012,2012,5,Q,0,0
FLU13,2013,2014,11,S,1,1
FLU14,2014,2014,6,D,0,0
FLU15,2015,2015,6,D,0,0
FLU16,2016,2017,12,S,1,1
FLY78,1978,1979,3,N,1,0
FLY80,1980,1980,11,N,0,0
FLY82,1982,1982,6,D,0,0
FLY83,1983,1984,4,N,1,0
FLY84,1984,1984,6,Q,0,0
FLY86,1986,2000,4,N,14,1
FMR04,2004,2005,3,N,1,0
FMR06,2006,2013,11,S,7,1
FMR08,2008,2009,3,N,1,0
FMR09,2009,2010,12,N,1,1
FNY01,2001,2001,12,A,0,0
FOK22,2022,2022,11,S,0,0
FOL75,1975,1982,11,A,7,1
FOL77,1977,1989,3,N,12,1
FOL80,1980,1980,6,A,0,0
FOL81,1981,1989,12,N,8,1
FOL83,1983,1985,4,N,2,1
FOL84,1984,1997,1,N,13,1
FOL86,1986,1987,3,N,1,0
FOL88,1988,1989,2,N,1,0
FOP01,2001,2002,3,N,1,0
FOP03,2003,2005,1,N,2,1
FOP04,2004,2004,6,Q,0,0
FOP05,2005,2005,4,,0,0
FOP94,1994,1995,3,N,1,0
FOP95,1995,1995,6,Q,0,0
FOP96,1996,1997,3,N,1,0
FOP97,1997,2002,5,N,5,1
FOP98,1998,1999,3,N,1,0
FOP99,1999,2000,4,N,1,0
FOU00,2000,2000,6,B,0,0
FOU01,2001,2002,2,N,1,0
FOU03,2003,2004,1,N,1,0
FOU05,2005,2005,6,Q,0,0
