Code,BirthYear,DeathYear,DeathMonth,DeathType,AgeWhenDied,FirstWinterSurvival
FOU06,2006,2006,5,Q,0,0
FOU07,2007,2007,6,Q,0,0
FOU94,1994,1994,9,E,0,0
FOU95,1995,1995,6,Q,0,0
FOU97,1997,2001,9,S,4,1
FOU99,1999,2000,3,N,1,0
FRA00,2000,2000,5,Q,0,0
FRA01,2001,2001,10,Q,0,0
FRA03,2003,2003,5,Q,0,0
FRA04,2004,2005,2,N,1,0
FRA95,1995,2001,10,A,6,1
FRA96,1996,2007,3,N,11,1
FRA98,1998,2009,12,N,11,1
FRE82,1982,1982,7,Q,0,0
FRE83,1983,1993,11,S,10,1
FRE87,1987,1993,8,S,6,1
FRE89,1989,1993,11,S,4,1
FRE90,1990,1993,8,S,3,1
FRICT,1962,1976,3,N,14,1
FRO89,1989,1989,6,Q,0,0
FRO90,1990,1991,3,N,1,0
FRO91,1991,1991,7,Q,0,0
FRO92,1992,1992,6,Q,0,0
FRO93,1993,1997,8,C,4,1
FRO94,1994,1994,8,Q,0,0
FRO95,1995,2006,9,S,11,1
FRO96,1996,1998,5,N,2,1
FRO98,1998,1999,3,N,1,0
FRODO,1971,1981,9,S,10,1
FRR04,2004,2004,6,E,0,0
FRT02,2002,2008,10,S,6,1
FRT03,2003,2019,9,S,16,1
FRT05,2005,2017,8,S,12,1
FRT06,2006,2022,12,N,16,1
FRT07,2007,2017,1,Q,10,1
FRT08,2008,2008,12,Q,0,0
FRT99,1999,2000,3,N,1,0
FTH03,2003,2010,1,,7,1
FTH05,2005,2009,10,S,4,1
FTH07,2007,2009,10,S,2,1
FTH08,2008,2014,1,S,6,1
FTH10,2010,2011,2,S,1,
FUL83,1983,1993,3,N,10,1
FUL85,1985,1993,3,N,8,1
FUL86,1986,2002,2,N,16,1
FUL87,1987,1998,1,N,11,1
FUL89,1989,2000,1,N,11,1
FUL90,1990,1998,10,Q,8,1
FUL91,1991,1992,4,N,1,0
FUL93,1993,2009,3,N,16,1
FUL94,1994,1994,7,,0,0
FVA16,2016,2016,5,W,0,0
FVA17,2017,2017,6,Q,0,0
FVA18,2018,2018,11,S,0,0
GAL81,1981,1982,4,N,1,0
GAL83,1983,1985,5,N,2,1
GAL84,1984,1984,6,A,0,0
GAL85,1985,1997,7,C,12,1
GAL86,1986,1986,7,Q,0,0
GAL87,1987,1992,3,A,5,1
GAL89,1989,2001,5,N,12,1
GAL90,1990,1991,3,N,1,0
GAN00,2000,2001,5,N,1,1
GAN01,2001,2001,6,Q,0,0
GAN03,2003,2004,3,N,1,0
GAN04,2004,2004,6,Q,0,0
GAN05,2005,2007,3,A,2,1
GAN06,2006,2007,2,N,1,0
GAN97,1997,1997,6,Q,0,0
GAN98,1998,1999,1,N,1,0
GAN99,1999,1999,6,Q,0,0
GANDA,2002,2010,,Q,8,1
GCE07,2007,2007,7,Q,0,0
GCE08,2008,2013,9,S,5,1
GEC93,1993,1994,4,N,1,0
GEC95,1995,2013,,Q,18,1
GEC97,1997,2012,2,N,15,1
GEC99,1999,1999,11,Q,0,0
GEM83,1983,1984,3,N,1,0
GEM84,1984,1985,4,N,1,0
GEM85,1985,1985,12,N,0,0
GEM87,1987,1988,3,N,1,0
GEM88,1988,1989,2,N,1,0
GEM90,1990,1991,3,N,1,0
GEM91,1991,1991,12,N,0,0
GEM94,1994,1994,5,B,0,0
GEN03,2003,2003,6,E,0,0
GGZ13,2013,2020,9,S,7,1
GGZ15,2015,2017,1,N,2,1
GGZ16,2016,2017,3,N,1,0
GGZ17,2017,2018,2,N,1,0
GGZ21,2021,2022,3,N,1,0
GGZ23,2023,2023,6,W,0,0
GHILL,1967,1978,3,N,11,1
GIN89,1989,1993,1,N,4,1
GIN91,1991,1992,2,N,1,0
GIN92,1992,1993,3,N,1,0
GIN93,1993,2007,12,N,14,1
GIN94,1994,1995,3,N,1,0
GIN95,1995,1998,3,N,3,1
GIN96,1996,2010,7,S,14,1
GIN98,1998,1998,5,Q,0,0
GINGR,2005,2014,8,S,9,1
GIPSY,1969,1978,3,N,9,1
GIS21,2021,2023,10,S,2,1
GIS23,2023,2023,10,S,0,0
GKG07,2007,2012,1,S,5,1
GKG09,2009,2012,9,S,3,1
GKG10,2010,2010,12,S,0,0
GL373,1973,1983,3,N,10,1
GL374,1974,1974,6,E,0,0
GL375,1975,1986,3,N,11,1
GL376,1976,1986,3,N,10,1
GL377,1977,1979,3,N,2,1
GL380,1980,1982,3,N,2,1
GL382,1982,1982,5,N,0,0
GLA69,1969,1982,5,N,13,1
GLA73,1973,1973,6,Q,0,0
GLA74,1974,1974,5,E,0,0
GLA75,1975,1975,7,E,0,0
GLA76,1976,1976,12,N,0,0
GLASS,1960,1976,11,N,16,1
GLE16,2016,2021,11,S,5,1
GLE20,2020,2023,1,S,3,1
GLE21,2021,2023,1,S,2,1
GLI04,2004,2006,10,S,2,1
GLI06,2006,2011,2,S,5,1
GLI08,2008,2008,6,B,0,0
GLN20,2020,2020,6,B,0,0
GLR05,2005,2010,9,S,5,1
GLR07,2007,2014,8,S,7,1
GLR08,2008,2009,1,N,1,0
GLR11,2011,2014,11,S,3,1
GLR12,2012,2022,8,S,10,1
GLR14,2014,2014,6,Q,0,0
GLR15,2015,2020,10,S,5,1
GLR16,2016,2021,12,S,5,1
GLR17,2017,2020,6,G,3,1
GLR18,2018,2023,11,S,5,1
GLR20,2020,2020,12,N,0,0
GLZ15,2015,2016,10,S,1,1
GLZ16,2016,2016,10,S,0,0
GNB04,2004,2005,1,N,1,0
GNB07,2007,2017,12,N,10,1
GNB08,2008,2010,4,N,2,1
GNB13,2013,2014,4,N,1,0
GOB02,2002,2002,12,N,0,0
GOB04,2004,2005,3,N,1,0
GOD00,2000,2001,2,N,1,0
GOD02,2002,2002,9,Q,0,0
GOD03,2003,2004,2,N,1,0
GOD94,1994,2011,1,N,17,1
GOD96,1996,2001,3,A,5,1
GOD97,1997,2015,2,N,18,1
GOD98,1998,1999,3,N,1,0
GOD99,1999,2000,3,N,1,0
GOLUM,2003,2012,,Q,9,1
GPI75,1975,1985,8,S,10,1
GRA00,2000,2002,2,N,2,1
GRA01,2001,2002,4,N,1,0
GRA02,2002,2009,12,N,7,1
GRA03,2003,2005,3,N,2,1
GRA04,2004,2004,11,N,0,0
GRA06,2006,2006,5,Q,0,0
GRA07,2007,2008,3,N,1,0
GRA93,1993,2008,1,N,15,1
GRA94,1994,1995,4,N,1,0
GRA95,1995,2000,3,N,5,1
GRA96,1996,2005,2,N,9,1
GRA97,1997,1997,5,D,0,0
GRA98,1998,2013,5,N,15,1
GRA99,1999,2008,5,C,9,1
GRC76,1976,1988,2,N,12,1
GRC77,1977,1979,3,N,2,1
GRC79,1979,1989,4,N,10,1
GRC81,1981,1982,3,N,1,0
GRC83,1983,1983,2,B,0,0
GRC84,1984,1986,3,N,2,1
GRC85,1985,1986,3,N,1,0
GRE68,1968,1980,4,N,12,1
GRE69,1969,1971,10,Q,2,1
GRE70,1970,1977,9,S,7,1
GRE71,1971,1971,5,Q,0,0
GRE72,1972,1986,2,N,14,1
GRE73,1973,1982,3,N,9,1
GRE74,1974,1980,11,A,6,1
GRE75,1975,1976,2,N,1,0
GREET,1964,1976,2,N,12,1
GRIST,1986,1997,8,Q,11,1
GRL11,2011,2011,6,B,0,0
GRN17,2017,2017,6,Q,0,0
GRN22,2022,2022,6,Q,0,0
GROWT,1971,1983,4,N,12,1
GRT03,2003,2003,9,B,0,0
GTO20,2020,2022,7,S,2,1
GTO23,2023,2023,11,S,0,0
GTR06,2006,2016,1,S,10,1
GYP04,2004,2004,5,Q,0,0
GYP05,2005,2008,10,S,3,1
GYP07,2007,2018,1,N,11,1
GYP09,2009,2011,10,S,2,1
GYP11,2011,2013,9,S,2,1
GYP13,2013,2018,9,S,5,1
GYP16,2016,2016,12,N,0,0
HAD89,1989,1989,6,B,0,0
HAGGI,1968,1977,11,N,9,1
HAGRI,1997,2004,,Q,7,1
HAI22,2022,2023,4,N,1,0
HAL87,1987,1993,11,S,6,1
HAL90,1990,2011,3,Q,21,1
HAL92,1992,1992,6,D,0,0
HAL93,1993,1993,6,D,0,0
HAL94,1994,2003,10,Q,9,1
HAL95,1995,2006,11,S,11,1
HAL96,1996,2001,1,S,5,1
HAL98,1998,2007,9,S,9,1
HAL99,1999,2000,2,N,1,0
HALFE,,2022,9,S,,
HAMIS,1967,1979,8,S,12,1
HAN16,2016,2017,3,N,1,0
HAN17,2017,2018,1,N,1,0
HAN18,2018,2019,3,N,1,0
HAN21,2021,2021,6,Q,0,0
HAR80,1980,1980,7,Q,0,0
HAR81,1981,1982,5,N,1,1
HAR82,1982,1995,2,N,13,1
HAR84,1984,1984,10,Q,0,0
HAR85,1985,1986,4,N,1,0
HARRY,1995,2005,,Q,10,1
HAW00,2000,2000,11,S,0,0
HAW96,1996,1999,7,S,3,1
HAW99,1999,2010,10,S,11,1
HAZ10,2010,2016,9,S,6,1
HAZ12,2012,2014,7,S,2,1
HAZ14,2014,2017,1,S,3,1
HAZ15,2015,2015,6,Q,0,0
HAZ16,2016,2019,12,S,3,1
HAZ17,2017,2018,4,N,1,0
HAZ18,2018,2019,1,S,1,
HDI08,2008,2009,3,Q,1,0
HDI11,2011,2012,2,N,1,0
HDX13,2013,2019,8,S,6,1
HDX14,2014,2016,1,S,2,1
HDX15,2015,2016,1,S,1,
HEB00,2000,2000,11,S,0,0
HEB98,1998,2002,10,S,4,1
HECTO,1965,1978,4,N,13,1
HED01,2001,2018,10,N,17,1
HED04,2004,2005,3,N,1,0
HED06,2006,2007,12,N,1,1
HED07,2007,2008,1,N,1,0
HED08,2008,2022,2,N,14,1
HED10,2010,2012,3,N,2,1
HED12,2012,2016,12,N,4,1
HEFTY,1967,1976,8,S,9,1
HEL00,2000,2002,4,N,2,1
HEL01,2001,2002,2,N,1,0
HEL03,2003,2004,1,N,1,0
HEL05,2005,2020,2,N,15,1
HEL07,2007,2008,3,N,1,0
HER91,1991,2002,9,S,11,1
HER93,1993,1999,10,S,6,1
HER95,1995,1996,11,S,1,1
HES79,1979,1984,8,S,5,1
HES80,1980,1989,11,S,9,1
HES82,1982,1983,3,N,1,0
HES83,1983,1986,,Q,3,1
HES86,1986,1986,,Q,0,0
HEX13,2013,2014,2,N,1,0
HEX15,2015,2020,9,Q,5,1
HEX17,2017,2017,11,N,0,0
HIA01,2001,2002,3,N,1,0
HIA03,2003,2005,3,N,2,1
HIA04,2004,2005,2,N,1,0
HIA05,2005,2005,5,Q,0,0
HIA06,2006,2008,2,N,2,1
HIA07,2007,2007,6,B,0,0
HIA08,2008,2020,,Q,12,1
HIA11,2011,2012,2,N,1,0
HIC78,1978,1979,3,N,1,0
HIC80,1980,1982,2,N,2,1
HIC81,1981,1982,2,N,1,0
HIC82,1982,1983,3,N,1,0
HIC83,1983,1984,3,N,1,0
HIC84,1984,1999,12,N,15,1
HIC85,1985,1986,3,N,1,0
HIC88,1988,2004,2,N,16,1
HIC89,1989,1997,7,C,8,1
HIC90,1990,1991,3,N,1,0
HIC91,1991,1991,6,Q,0,0
HIC92,1992,1992,11,N,0,0
HIM10,2010,2010,8,Q,0,0
HIM12,2012,2012,12,N,0,0
HIM13,2013,2014,1,N,1,0
HIM15,2015,2015,6,B,0,0
HIM16,2016,2016,6,Q,0,0
HIM17,2017,2018,2,N,1,0
HIR01,2001,2002,3,N,1,0
HIR03,2003,2015,5,N,12,1
HIR05,2005,2006,2,N,1,0
HIR08,2008,2009,2,Q,1,0
HIR97,1997,1997,6,Q,0,0
HIR98,1998,1998,6,Q,0,0
HLD20,2020,2021,2,N,1,0
HML18,2018,2018,,Q,0,0
HNY12,2012,2017,2,N,5,1
HNY14,2014,2020,12,S,6,1
HNY16,2016,2016,6,Q,0,0
HNY17,2017,2017,11,S,0,0
HOC01,2001,2001,12,N,0,0
HOC03,2003,2004,4,N,1,0
HOC04,2004,2004,6,Q,0,0
HOC05,2005,2019,2,N,14,1
HOC07,2007,2020,6,G,13,1
HOC09,2009,2010,5,N,1,1
HOC11,2011,2012,3,N,1,0
HOL00,2000,2010,3,A,10,1
HOL03,2003,2003,7,B,0,0
HOL04,2004,2005,1,N,1,0
HOL91,1991,1992,3,N,1,0
HOL93,1993,1993,7,Q,0,0
HOL94,1994,2007,3,N,13,1
HOL97,1997,2012,3,N,15,1
HON00,2000,2008,6,C,8,1
HON02,2002,2004,10,S,2,1
HON04,2004,2006,8,S,2,1
HON06,2006,2012,2,S,6,1
HON08,2008,2009,3,Q,1,0
HON97,1997,2001,9,S,4,1
HON99,1999,1999,5,Q,0,0
HOO04,2004,2004,5,Q,0,0
HOO05,2005,2018,9,H,13,1
HOO07,2007,2012,9,S,5,1
HOO08,2008,2009,4,Q,1,0
HOO10,2010,2010,8,B,0,0
HOP12,2012,2020,10,S,8,1
HOR90,1990,1990,6,B,0,0
HORAC,1999,2007,,Q,8,1
HPI19,2019,2019,6,Q,0,0
HRM00,2000,2000,10,Q,0,0
HRM90,1990,2002,1,N,12,1
HRM91,1991,1993,3,N,2,1
HRM92,1992,1992,5,D,0,0
HRM94,1994,1994,5,B,0,0
HRM95,1995,2004,11,N,9,1
HRM96,1996,1997,4,N,1,0
HRM97,1997,1998,9,A,1,1
HRM98,1998,1998,6,Q,0,0
HRM99,1999,2007,6,C,8,1
HRN01,2001,2001,10,S,0,0
HRT15,2015,2019,9,S,4,1
HRT16,2016,2016,11,Q,0,0
HRT18,2018,2018,6,G,0,0
HUD16,2016,2016,11,S,0,0
HUGHE,2010,2018,8,S,8,1
HUMBL,2011,2018,10,S,7,1
HUMME,1967,1974,9,S,7,1
HUMPY,1997,2007,1,N,10,1
HUNCH,1967,1977,,S,10,1
HUR14,2014,2015,3,N,1,0
HYS16,2016,2016,6,Q,0,0
IBI81,1981,1992,3,N,11,1
IBI82,1982,1983,4,N,1,0
IBI83,1983,1986,6,C,3,1
IBI84,1984,1997,5,N,13,1
ICE03,2003,2010,7,S,7,1
IDU83,1983,1983,6,Q,0,0
IDU84,1984,1989,9,S,5,1
IFF18,2018,2018,11,S,0,0
ILE84,1984,1986,3,N,2,1
ILE86,1986,2004,12,N,18,1
ILE87,1987,2007,3,N,20,1
ILE89,1989,1990,3,N,1,0
ILE92,1992,1993,3,N,1,0
ILL83,1983,1983,6,Q,0,0
IND92,1992,1999,11,S,7,1
ING16,2016,2016,7,Q,0,0
INI83,1983,1984,4,N,1,0
INI85,1985,2000,3,N,15,1
INI86,1986,2001,3,N,15,1
INI87,1987,1993,3,N,6,1
INI88,1988,1989,3,N,1,0
INI90,1990,1991,4,N,1,0
INI91,1991,1992,2,N,1,0
INI92,1992,1993,1,N,1,0
IOLOO,2010,2018,8,S,8,1
ION91,1991,1991,12,N,0,0
IOW20,2020,2020,7,B,0,0
IRI13,2013,2019,9,S,6,1
IVO01,2001,2002,2,N,1,0
IVO03,2003,2005,2,N,2,1
IVO94,1994,1995,2,N,1,0
IVO96,1996,2006,,Q,10,1
IVO97,1997,1999,3,N,2,1
IVO98,1998,1998,6,B,0,0
IVO99,1999,2015,1,N,16,1
IVY00,2000,2000,7,Q,0,0
IVY01,2001,2002,2,N,1,0
IVY03,2003,2005,3,N,2,1
IVY06,2006,2007,1,N,1,0
IVY91,1991,1991,6,D,0,0
IVY92,1992,1993,3,N,1,0
IVY94,1994,1995,4,N,1,0
IVY95,1995,2000,1,A,5,1
IVY96,1996,2009,1,N,13,1
IVY97,1997,2015,2,A,18,1
IVY98,1998,1998,6,Q,0,0
IVY99,1999,2000,3,N,1,0
JAD07,2007,2009,6,N,2,1
JAD09,2009,2011,10,S,2,1
JAD12,2012,2019,8,S,7,1
JAD15,2015,2015,5,Q,0,0
JAE00,2000,2002,1,N,2,1
JAE02,2002,2018,5,N,16,1
JAE03,2003,2010,,Q,7,1
JAE05,2005,2017,,,12,1
JAE08,2008,2021,7,G,13,1
JAN85,1985,1985,12,N,0,0
JAV13,2013,2013,6,Q,0,0
JAY00,2000,2001,1,N,1,0
JAY01,2001,2002,3,N,1,0
JAY03,2003,2005,4,N,2,1
JAY05,2005,2009,9,S,4,1
JAY08,2008,2009,2,Q,1,0
JEE00,2000,2004,7,S,4,1
JEE01,2001,2004,7,S,3,1
JEE03,2003,2012,10,S,9,1
JEE10,2010,2011,6,N,1,1
JEE94,1994,1994,6,D,0,0
JEE95,1995,2001,9,S,6,1
JEE96,1996,2001,7,S,5,1
JEE99,1999,1999,7,Q,0,0
JEM88,1988,1989,3,N,1,0
JEP15,2015,2015,6,Q,0,0
JEP16,2016,2018,11,S,2,1
JEP17,2017,2018,11,S,1,1
JES88,1988,1989,3,N,1,0
JET23,2023,2023,6,Q,0,0
JMC17,2017,2017,5,Q,0,0
JMC18,2018,2020,10,S,2,1
JMC19,2019,2019,8,Q,0,0
JMC20,2020,2023,9,S,3,1
JMC22,2022,2022,7,E,0,0
JOA85,1985,1986,1,N,1,0
JOS74,1974,1978,3,N,4,1
JOS76,1976,1976,6,Q,0,0
JOS77,1977,1983,,N,6,1
JOS78,1978,1978,12,N,0,0
JOS79,1979,1987,10,A,8,1
JOS82,1982,1983,3,N,1,0
JOSHS,1987,2000,,Q,13,1
JOW89,1989,2000,,Q,11,1
JOW93,1993,2005,1,S,12,1
JUG83,1983,1983,6,Q,0,0
JUG85,1985,1999,3,N,14,1
JUG87,1987,1999,3,N,12,1
JUG88,1988,1989,3,N,1,0
JUG90,1990,2004,,Q,14,1
JUG91,1991,2004,2,S,13,1
JUG92,1992,1993,4,N,1,0
JUL04,2004,2005,1,S,1,
JUN77,1977,1979,3,N,2,1
JUN80,1980,1980,6,Q,0,0
JUN81,1981,1982,10,Q,1,1
JUN82,1982,1983,4,N,1,0
JUN84,1984,1984,5,E,0,0
JUN85,1985,1999,2,N,14,1
JUNCU,1970,1982,2,N,12,1
KAK15,2015,2015,5,Q,0,0
KAK16,2016,2016,6,Q,0,0
KAN16,2016,2023,9,S,7,1
KAN18,2018,2018,11,S,0,0
KAR02,2002,2011,10,S,9,1
KAR03,2003,2003,10,S,0,0
KAR98,1998,1998,6,Q,0,0
KAT20,2020,2020,5,,0,0
KEL78,1978,1984,9,Q,6,1
KELTI,1968,1985,3,N,17,1
KENNY,2003,2010,,Q,7,1
KIC18,2018,2019,3,N,1,0
KID89,1989,1989,11,N,0,0
KID90,1990,1991,1,N,1,0
KIERA,1992,2000,,Q,8,1
KIL74,1974,1975,1,N,1,0
KIL75,1975,1976,4,N,1,0
KIL76,1976,1986,3,N,10,1
KIL77,1977,1979,1,N,2,1
KIL78,1978,1979,5,N,1,1
KIL79,1979,1989,3,N,10,1
KIL80,1980,1981,3,N,1,0
KIL81,1981,1982,1,N,1,0
KIL82,1982,1993,3,N,11,1
KIL83,1983,1984,4,N,1,0
KIL84,1984,1985,1,N,1,0
KIL85,1985,1986,1,N,1,0
KIN80,1980,1980,,Q,0,0
KIN89,1989,1990,3,N,1,0
KINDS,1968,1977,,S,9,1
KIT02,2002,2002,2,,0,0
KIT90,1990,1992,3,N,2,1
KIT91,1991,1992,3,N,1,0
KIT92,1992,1993,2,N,1,0
KIT95,1995,2014,3,N,19,1
KIT96,1996,2010,1,N,14,1
KIT97,1997,1997,6,Q,0,0
KITES,1993,2003,,Q,10,1
KITKT,2003,2009,,Q,6,1
KIW79,1979,1992,3,N,13,1
KIW81,1981,1982,3,N,1,0
KIW84,1984,1986,4,N,2,1
KIW85,1985,1992,1,S,7,1
KIW91,1991,1992,1,N,1,0
KIW92,1992,1992,11,N,0,0
KKA16,2016,2018,4,N,2,1
KKA18,2018,2022,7,S,4,1
KKA21,2021,2023,11,S,2,1
KKONG,1994,2002,10,S,8,1
KLD00,2000,2002,2,N,2,1
KLD01,2001,2003,1,N,2,1
KLD03,2003,2004,10,Q,1,1
KLD05,2005,2012,5,C,7,1
KLD06,2006,2021,,Q,15,1
KLD99,1999,1999,6,Q,0,0
KLE23,2023,2023,6,Q,0,0
KLN15,2015,2015,6,Q,0,0
KLN16,2016,2018,12,S,2,1
KLN18,2018,2018,12,S,0,0
KLP14,2014,2015,3,N,1,0
KLP18,2018,2023,2,S,5,1
KLP20,2020,2022,7,S,2,1
KNO00,2000,2000,10,Q,0,0
KNO01,2001,2002,3,N,1,0
KNO90,1990,1991,1,N,1,0
KNO91,1991,1991,7,Q,0,0
KNO94,1994,2005,11,S,11,1
KNO95,1995,2014,1,S,19,1
KNO96,1996,1999,,Q,3,1
KNO97,1997,1997,6,Q,0,0
KNO99,1999,2008,10,S,9,1
KOH15,2015,2018,7,A,3,1
KONKO,1971,1981,3,Q,10,1
KRB04,2004,2004,12,Q,0,0
KRB05,2005,2005,11,S,0,0
KRM05,2005,2005,6,D,0,0
LAC00,2000,2002,2,N,2,1
LAC02,2002,2006,10,S,4,1
LAC04,2004,2005,2,N,1,0
LAM81,1981,1982,2,N,1,0
LAM83,1983,1998,3,N,15,1
LAM84,1984,1986,5,N,2,1
LAM87,1987,1989,4,N,2,1
LAM90,1990,1991,4,N,1,0
LAP78,1978,1979,4,N,1,0
LAP81,1981,1988,11,S,7,1
LAPHR,2005,2014,,Q,9,1
LAR01,2001,2002,1,N,1,0
LAR02,2002,2003,3,N,1,0
LAR03,2003,2003,6,Q,0,0
LAR04,2004,2004,5,B,0,0
LAR06,2006,2006,6,A,0,0
LAR08,2008,2009,3,N,1,0
LAR09,2009,2009,11,N,0,0
LAR11,2011,2011,6,W,0,0
LAR99,1999,1999,6,B,0,0
LAV09,2009,2011,10,S,2,1
LAV11,2011,2012,1,S,1,
LAZ11,2011,2012,1,S,1,
LCH04,2004,2009,8,S,5,1
LCH06,2006,2019,1,S,13,1
LCH08,2008,2014,1,S,6,1
LCH12,2012,2013,11,S,1,1
LEA15,2015,2020,9,S,5,1
LEA16,2016,2016,11,Q,0,0
LEBRO,2011,2020,,Q,9,1
LEI10,2010,2011,4,N,1,0
LEI12,2012,2018,12,S,6,1
LEI15,2015,2019,11,S,4,1
LEI16,2016,2016,7,Q,0,0
LEM16,2016,2018,2,N,2,1
LEM21,2021,2023,1,N,2,1
LEN78,1978,1979,4,N,1,0
LEN81,1981,1983,3,N,2,1
LEN83,1983,1993,3,N,10,1
LEN85,1985,1986,4,N,1,0
LENOT,1982,1996,3,N,14,1
LEX07,2007,2008,4,N,1,0
LIA13,2013,2013,6,Q,0,0
LIA14,2014,2022,3,N,8,1
LIA16,2016,2017,3,N,1,0
LIA18,2018,2019,2,N,1,0
LIA20,2020,2023,9,S,3,1
LIA21,2021,2022,4,N,1,0
LIAMS,1966,1974,11,N,8,1
LIB78,1978,1993,2,N,15,1
LIBRA,1972,1985,9,Q,13,1
LIC74,1974,1983,4,N,9,1
LIC76,1976,1986,4,N,10,1
LIC77,1977,1977,6,D,0,0
LIC78,1978,1979,4,N,1,0
LIC79,1979,1979,6,E,0,0
LIGHT,1981,1993,2,N,12,1
LIL00,2000,2001,5,N,1,1
LIL04,2004,2005,7,N,1,1
LIL06,2006,2010,11,S,4,1
LIL07,2007,2008,4,N,1,0
LIL09,2009,2010,2,N,1,0
LIM77,1977,1979,4,N,2,1
LIM78,1978,1983,8,C,5,1
LIM80,1980,1993,2,N,13,1
LIM82,1982,1982,6,D,0,0
LIM83,1983,1998,3,N,15,1
LIM85,1985,2000,3,N,15,1
LIMES,1974,1980,9,S,6,1
LIN11,2011,2011,11,S,0,0
LIT70,1970,1986,2,N,16,1
LIT72,1972,1978,8,S,6,1
LIT73,1973,1986,3,N,13,1
LIT74,1974,1986,9,S,12,1
LIT75,1975,1982,11,N,7,1
LIT76,1976,1989,2,N,13,1
LIT77,1977,1977,6,Q,0,0
LIT78,1978,1979,11,Q,1,1
LIT79,1979,1987,10,Q,8,1
LIT81,1981,1981,6,Q,0,0
LIT82,1982,1983,2,N,1,0
LITLH,1967,1983,2,N,16,1
LIZ82,1982,1982,6,E,0,0
LIZ83,1983,1983,6,D,0,0
LIZ86,1986,2000,4,N,14,1
LIZ87,1987,1989,1,N,2,1
LIZ88,1988,1988,7,Q,0,0
LIZ89,1989,2000,4,N,11,1
LIZ90,1990,1992,3,N,2,1
LIZ92,1992,1992,10,N,0,0
LLASS,1963,1980,3,N,17,1
LLEAR,2004,2011,,Q,7,1
LMS00,2000,2015,3,N,15,1
LMS04,2004,2005,4,N,1,0
LMS05,2005,2015,12,S,10,1
LMS06,2006,2015,8,Q,9,1
LMS07,2007,2012,11,S,5,1
LMS09,2009,2009,6,Q,0,0
LMS10,2010,2011,1,N,1,0
LMS97,1997,2014,2,N,17,1
LMS98,1998,1999,4,N,1,0
LMS99,1999,2000,3,N,1,0
LNC04,2004,2004,6,Q,0,0
LOB82,1982,1983,3,N,1,0
LOB83,1983,1983,6,Q,0,0
LOB84,1984,1984,6,Q,0,0
LOB85,1985,1986,3,N,1,0
LOB86,1986,1999,8,Q,13,1
LOB87,1987,1988,4,N,1,0
LOB88,1988,1989,3,N,1,0
LOB89,1989,1989,11,Q,0,0
LOG82,1982,1985,,Q,3,1
LONGT,2006,2019,,Q,13,1
LOW71,1971,1971,5,Q,0,0
LOW72,1972,1972,6,N,0,0
LOW73,1973,1973,6,Q,0,0
LPA01,2001,2001,6,Q,0,0
LPA02,2002,2020,11,S,18,1
LPA03,2003,2005,8,S,2,1
LPA04,2004,2014,1,S,10,1
LPA06,2006,2006,6,Q,0,0
LPA07,2007,2007,7,Q,0,0
LPA08,2008,2010,10,S,2,1
LPA09,2009,2012,11,S,3,1
LPA11,2011,2011,6,B,0,0
LPA12,2012,2016,11,S,4,1
LPA13,2013,2013,12,N,0,0
LPW00,2000,2000,6,Q,0,0
LPW91,1991,2008,2,N,17,1
LPW93,1993,2005,3,N,12,1
LPW94,1994,1994,6,D,0,0
LPW95,1995,1997,2,N,2,1
