Code,BirthYear,DeathYear,DeathMonth,DeathType,AgeWhenDied,FirstWinterSurvival
LPW97,1997,1999,3,N,2,1
LPW98,1998,1999,2,N,1,0
LPW99,1999,1999,6,Q,0,0
LTE02,2002,2005,11,S,3,1
LTF72,1972,1978,8,Q,6,1
LTF73,1973,1990,6,Q,17,1
LTF74,1974,1993,1,N,19,1
LTF75,1975,1985,9,S,10,1
LTF77,1977,1993,2,N,16,1
LTF78,1978,1978,7,Q,0,0
LTF79,1979,1980,2,Q,1,0
LTFLH,1967,1980,4,N,13,1
LTNIK,1972,1986,4,N,14,1
LTSPI,1969,1981,2,N,12,1
LUC86,1986,1987,,Q,1,1
LUN09,2009,2012,1,S,3,1
LUN10,2010,2010,12,Q,0,0
LUT08,2008,2021,11,S,13,1
LUT10,2010,2017,11,S,7,1
LUT12,2012,2018,2,N,6,1
LUT15,2015,2015,6,A,0,0
LUT16,2016,2017,3,N,1,0
LUZ84,1984,1984,,D,0,0
LUZ85,1985,1989,11,Q,4,1
LUZ86,1986,1991,9,S,5,1
LUZ88,1988,1989,3,N,1,0
LUZ89,1989,1989,7,Q,0,0
LUZ91,1991,1991,7,Q,0,0
LYR14,2014,2018,10,S,4,1
LYR16,2016,2018,10,S,2,1
LYR20,2020,2021,11,S,1,1
MAA19,2019,2019,6,Q,0,0
MAA20,2020,2023,9,S,3,1
MAA21,2021,2023,8,S,2,1
MAB16,2016,2017,4,N,1,0
MAB18,2018,2018,5,Q,0,0
MAB19,2019,2019,5,D,0,0
MAB20,2020,2021,1,N,1,0
MAC80,1980,1980,10,Q,0,0
MAC81,1981,1992,3,N,11,1
MAC83,1983,1986,12,Q,3,1
MAC85,1985,1989,6,C,4,1
MAC89,1989,1989,7,Q,0,0
MAD83,1983,1993,1,N,10,1
MAD87,1987,1989,2,N,2,1
MAD91,1991,1993,2,N,2,1
MAG71,1971,1972,1,N,1,0
MAG72,1972,1986,1,N,14,1
MAG74,1974,1975,4,N,1,0
MAG77,1977,1979,3,N,2,1
MAG80,1980,1981,1,N,1,0
MAJ10,2010,2017,10,S,7,1
MAJ12,2012,2016,10,S,4,1
MAJ13,2013,2017,11,S,4,1
MAJ14,2014,2021,12,S,7,1
MAJ16,2016,2023,9,S,7,1
MAJ20,2020,2022,10,S,2,1
MAL88,1988,1989,1,N,1,0
MAL90,1990,1990,6,Q,0,0
MAL91,1991,1992,4,N,1,0
MAL93,1993,2010,3,N,17,1
MAL95,1995,2005,1,N,10,1
MAL98,1998,1998,7,Q,0,0
MAM16,2016,2016,8,Q,0,0
MAM18,2018,2019,2,N,1,0
MAM20,2020,2021,3,N,1,0
MAM21,2021,2021,8,Q,0,0
MAM22,2022,2023,4,N,1,0
MAN76,1976,1976,6,Q,0,0
MAN77,1977,1977,6,Q,0,0
MAN78,1978,1978,6,Q,0,0
MAN79,1979,1981,3,N,2,1
MAN80,1980,1981,1,N,1,0
MAN82,1982,1983,12,N,1,1
MAN83,1983,1984,3,N,1,0
MAN85,1985,1986,3,N,1,0
MAP06,2006,2006,6,B,0,0
MAP07,2007,2009,10,S,2,1
MAR87,1987,1988,3,N,1,0
MAR89,1989,2007,1,N,18,1
MAR90,1990,1990,9,D,0,0
MAR91,1991,1992,2,N,1,0
MAR93,1993,2007,2,N,14,1
MAR94,1994,1994,6,B,0,0
MAR95,1995,2011,12,N,16,1
MAR96,1996,1996,7,Q,0,0
MAR97,1997,1999,3,N,2,1
MAS90,1990,1996,8,S,6,1
MAS92,1992,1993,3,N,1,0
MAS94,1994,1994,6,Q,0,0
MAS96,1996,1996,6,Q,0,0
MAS97,1997,1997,6,E,0,0
MAS99,1999,2004,11,S,5,1
MAT04,2004,2004,6,Q,0,0
MAT94,1994,1994,8,B,0,0
MAT96,1996,1996,6,D,0,0
MAT98,1998,1999,1,N,1,0
MAV01,2001,2001,11,S,0,0
MAW79,1979,1994,7,N,15,1
MAW81,1981,1982,3,N,1,0
MAW83,1983,2000,2,N,17,1
MAW85,1985,1986,3,N,1,0
MAX82,1982,1983,3,N,1,0
MAX84,1984,1999,1,N,15,1
MAX85,1985,1986,4,N,1,0
MAXIS,1970,1982,2,N,12,1
MAY96,1996,1996,10,S,0,0
MAZUN,2004,2012,,Q,8,1
MCC21,2021,2022,10,S,1,1
MCD10,2010,2011,2,N,1,0
MCD11,2011,2011,6,B,0,0
MCD13,2013,2015,3,N,2,1
MCD16,2016,2017,3,A,1,0
MCD17,2017,2018,2,N,1,0
MCL20,2020,2021,1,N,1,0
MCL22,2022,2023,3,N,1,0
MCQ14,2014,2018,12,S,4,1
MCQ17,2017,2017,6,D,0,0
MCQ18,2018,2019,2,S,1,
MCU12,2012,2017,11,S,5,1
MCU14,2014,2014,5,Q,0,0
MCU15,2015,2022,8,S,7,1
MCU16,2016,2016,6,Q,0,0
MCU17,2017,2022,11,R,5,1
MCU18,2018,2018,5,Q,0,0
MCU20,2020,2020,5,A,0,0
MDD10,2010,2010,7,Q,0,0
MDD16,2016,2016,6,B,0,0
MDD17,2017,2018,1,N,1,0
MDD20,2020,2021,3,N,1,0
MDL01,2001,2002,3,N,1,0
MDL03,2003,2005,1,N,2,1
MDL04,2004,2005,1,N,1,0
MDL97,1997,1998,1,N,1,0
MDL98,1998,1999,3,N,1,0
MDL99,1999,2000,3,N,1,0
MDR02,2002,2003,,Q,1,1
MEA88,1988,1989,1,N,1,0
MEA89,1989,1990,3,N,1,0
MEA90,1990,1991,3,N,1,0
MEA91,1991,1992,2,N,1,0
MEA92,1992,1993,3,N,1,0
MEA94,1994,1995,3,N,1,0
MED01,2001,2001,11,S,0,0
MEE03,2003,2017,2,N,14,1
MEE05,2005,2021,10,N,16,1
MEE06,2006,2017,9,S,11,1
MEE08,2008,2011,11,S,3,1
MEE13,2013,2018,8,S,5,1
MEG00,2000,2008,3,N,8,1
MEG02,2002,2002,6,B,0,0
MEG04,2004,2005,2,N,1,0
MEG06,2006,2021,1,N,15,1
MEG07,2007,2008,2,N,1,0
MEG08,2008,2008,6,Q,0,0
MEG09,2009,2009,5,Q,0,0
MEG10,2010,2010,5,Q,0,0
MEG11,2011,2011,12,N,0,0
MEG98,1998,1998,9,Q,0,0
MEG99,1999,1999,9,Q,0,0
MEL75,1975,1983,3,N,8,1
MEL76,1976,1989,2,N,13,1
MEL77,1977,1983,3,N,6,1
MEL79,1979,1991,4,N,12,1
MEL82,1982,1982,6,Q,0,0
MEL83,1983,1995,5,N,12,1
MEL84,1984,1991,9,S,7,1
MEL86,1986,1998,1,N,12,1
MEL87,1987,1987,6,Q,0,0
MEL88,1988,1989,3,N,1,0
MES22,2022,2023,11,S,1,1
MGH05,2005,2006,4,N,1,0
MGH06,2006,2006,6,Q,0,0
MGH07,2007,2009,3,Q,2,1
MGN96,1996,1996,11,S,0,0
MHO67,1967,1978,3,N,11,1
MHO70,1970,1973,9,S,3,1
MHO71,1971,1973,9,S,2,1
MHO72,1972,1972,5,Q,0,0
MHOLE,1962,1974,,Q,12,1
MIC08,2008,2009,11,S,1,1
MIC10,2010,2010,6,E,0,0
MIC11,2011,2014,7,S,3,1
MIC12,2012,2012,5,Q,0,0
MIC15,2015,2015,5,Q,0,0
MIC16,2016,2016,6,Q,0,0
MIC17,2017,2017,11,S,0,0
MICKY,1965,1977,12,Q,12,1
MIDGE,1965,1976,11,Q,11,1
MIL21,2021,2021,12,S,0,0
MILDS,1989,2000,,Q,11,1
MLA18,2018,2022,10,S,4,1
MLA20,2020,2022,10,S,2,1
MLD04,2004,2009,1,N,5,1
MLD06,2006,2008,5,N,2,1
MLD07,2007,2007,6,B,0,0
MLN00,2000,2014,11,S,14,1
MLN02,2002,2006,10,S,4,1
MLN04,2004,2005,2,N,1,0
MLN07,2007,2010,10,S,3,1
MLN09,2009,2009,6,Q,0,0
MLN10,2010,2010,6,Q,0,0
MLN97,1997,2011,2,S,14,1
MLN98,1998,1999,4,N,1,0
MLR91,1991,1991,6,A,0,0
MLR92,1992,1992,6,Q,0,0
MLR96,1996,2015,2,N,19,1
MLR98,1998,1999,1,N,1,0
MLT07,2007,2013,1,S,6,1
MND03,2003,2004,1,S,1,
MND99,1999,2014,,,15,1
MNG07,2007,2007,5,Q,0,0
MNG08,2008,2008,5,D,0,0
MNG11,2011,2011,6,A,0,0
MNG12,2012,2013,12,N,1,1
MNG13,2013,2013,11,S,0,0
MNM07,2007,2015,11,S,8,1
MNM09,2009,2009,5,Q,0,0
MNM11,2011,2011,5,D,0,0
MNM12,2012,2017,1,S,5,1
MNM13,2013,2013,5,Q,0,0
MNM14,2014,2017,1,S,3,1
MNM16,2016,2020,8,S,4,1
MNM17,2017,2021,8,S,4,1
MNN05,2005,2005,11,S,0,0
MNS01,2001,2002,3,N,1,0
MNS03,2003,2017,1,S,14,1
MNS06,2006,2014,7,S,8,1
MNS09,2009,2011,10,S,2,1
MNT01,2001,2003,12,S,2,1
MNT03,2003,2005,9,S,2,1
MNT04,2004,2009,12,S,5,1
MNT06,2006,2009,1,S,3,1
MNT08,2008,2009,12,S,1,1
MNT09,2009,2011,2,S,2,1
MNT11,2011,2014,1,S,3,1
MNT99,1999,2005,1,S,6,1
MNX87,1987,1987,6,D,0,0
MNX88,1988,1988,6,D,0,0
MNX89,1989,2005,1,N,16,1
MNX90,1990,2004,2,N,14,1
MNX92,1992,1993,3,N,1,0
MOA70,1970,1979,5,N,9,1
MOA71,1971,1971,5,B,0,0
MOC79,1979,1981,1,N,2,1
MOC80,1980,1982,1,N,2,1
MOC82,1982,1983,3,N,1,0
MOC84,1984,1998,4,N,14,1
MOC85,1985,1986,3,N,1,0
MOD72,1972,1989,1,N,17,1
MOD73,1973,1975,2,A,2,1
MOD74,1974,1986,3,N,12,1
MOE17,2017,2018,2,N,1,0
MOH14,2014,2014,6,Q,0,0
MOJ14,2014,2014,6,Q,0,0
MOJ15,2015,2015,5,B,0,0
MOJ16,2016,2016,6,Q,0,0
MOJ17,2017,2017,6,D,0,0
MOJ18,2018,2018,6,Q,0,0
MOJ19,2019,2023,5,G,4,1
MOJ20,2020,2022,4,N,2,1
MOJ22,2022,2023,2,N,1,0
MOL70,1970,1977,3,N,7,1
MOL71,1971,1971,6,B,0,0
MOL72,1972,1972,5,A,0,0
MOL73,1973,1980,,Q,7,1
MOL74,1974,1974,11,Q,0,0
MOL75,1975,1987,12,S,12,1
MOL77,1977,1979,4,N,2,1
MOL79,1979,1984,5,Q,5,1
MOL83,1983,1983,12,Q,0,0
MOLIN,1969,1974,9,Q,5,1
MOM65,1965,1983,11,A,18,1
MOM67,1967,1980,11,N,13,1
MOM68,1968,1981,1,N,13,1
MOM69,1969,1972,4,Q,3,1
MOM71,1971,1973,4,N,2,1
MOM72,1972,1986,3,N,14,1
MOM73,1973,1973,5,N,0,0
MOM74,1974,1976,3,N,2,1
MOMHI,1961,1975,5,N,14,1
MOO86,1986,1999,1,N,13,1
MOO88,1988,1989,3,N,1,0
MOO90,1990,1991,4,N,1,0
MOO91,1991,1993,2,N,2,1
MOO93,1993,1993,6,Q,0,0
MOO95,1995,1996,5,N,1,1
MOO96,1996,2006,1,N,10,1
MOP72,1972,1972,6,Q,0,0
MOP74,1974,1975,1,N,1,0
MOP76,1976,1977,2,N,1,0
MOP79,1979,1979,6,E,0,0
MOP80,1980,1980,12,N,0,0
MORRI,2000,2006,,Q,6,1
MOS78,1978,1993,1,N,15,1
MOS80,1980,1988,9,S,8,1
MOS82,1982,1983,3,N,1,0
MOS83,1983,1993,1,N,10,1
MOS85,1985,1986,4,N,1,0
MOU00,2000,2005,10,S,5,1
MOU01,2001,2002,3,N,1,0
MOU02,2002,2010,4,Q,8,1
MOU03,2003,2021,3,N,18,1
MOU05,2005,2014,,,9,1
MOU06,2006,2008,5,N,2,1
MOU08,2008,2011,11,S,3,1
MOU09,2009,2016,10,S,7,1
MOU99,1999,2002,8,S,3,1
MOW71,1971,1986,3,N,15,1
MOY73,1973,1986,3,N,13,1
MOY74,1974,1986,1,N,12,1
MOY75,1975,1976,3,N,1,0
MOY76,1976,1986,3,N,10,1
MOY77,1977,1980,9,Q,3,1
MOY78,1978,1980,3,N,2,1
MOY79,1979,1981,4,N,2,1
MOY81,1981,1982,2,N,1,0
MOY82,1982,1997,1,N,15,1
MOZ01,2001,2001,6,Q,0,0
MOZ02,2002,2017,4,N,15,1
MOZ03,2003,2018,,,15,1
MOZ05,2005,2012,9,S,7,1
MOZ07,2007,2008,3,N,1,0
MOZ09,2009,2010,2,N,1,0
MRC19,2019,2019,6,B,0,0
MRC21,2021,2023,8,S,2,1
MRC22,2022,2023,3,N,1,0
MRG03,2003,2015,2,N,12,1
MRG06,2006,2007,1,N,1,0
MRI20,2020,2020,11,S,0,0
MRN01,2001,2002,4,N,1,0
MRN98,1998,2000,3,N,2,1
MRN99,1999,2000,2,N,1,0
MRR23,2023,2023,10,N,0,0
MRY02,2002,2014,,,12,1
MRY04,2004,2005,1,N,1,0
MRY05,2005,2006,3,N,1,0
MRY06,2006,2007,2,N,1,0
MRY97,1997,1999,2,N,2,1
MRY98,1998,1999,3,N,1,0
MRY99,1999,2000,2,N,1,0
MSC22,2022,2023,1,N,1,0
MST99,1999,1999,6,Q,0,0
MSTRL,1976,1986,4,N,10,1
MTT04,2004,2005,3,N,1,0
MTT06,2006,2012,9,S,6,1
MTT08,2008,2022,3,N,14,1
MTT14,2014,2015,2,N,1,0
MUF99,1999,1999,6,Q,0,0
MUL87,1987,1987,,N,0,0
MUR83,1983,1983,6,Q,0,0
MUR85,1985,1999,2,N,14,1
MUR87,1987,1989,3,N,2,1
MUR88,1988,1989,1,N,1,0
MUS77,1977,1993,1,N,16,1
MUS79,1979,1989,3,N,10,1
MUS81,1981,2000,11,S,19,1
MUS83,1983,1988,9,S,5,1
MUS84,1984,2000,11,S,16,1
MUS85,1985,2002,,,17,1
MUS87,1987,2001,6,N,14,1
MUS89,1989,2002,3,N,13,1
MUS91,1991,1991,6,Q,0,0
MYF10,2010,2010,7,Q,0,0
MYF11,2011,2012,2,N,1,0
MYR71,1971,1971,6,Q,0,0
MYR72,1972,1981,3,N,9,1
MYR74,1974,1989,2,N,15,1
MYR76,1976,1978,1,N,2,1
MYRTL,1967,1977,1,N,10,1
MYT76,1976,1977,3,N,1,0
NAI96,1996,2000,,Q,4,1
NAK89,1989,2000,,Q,11,1
NAK90,1990,2000,11,S,10,1
NAK92,1992,1992,11,S,0,0
NAN05,2005,2005,6,Q,0,0
NAN06,2006,2006,6,B,0,0
NAR23,2023,2023,6,B,0,0
NATHN,2003,2010,,Q,7,1
NAU21,2021,2023,8,S,2,1
NAV08,2008,2014,1,S,6,1
NAV09,2009,2012,9,S,3,1
NAV10,2010,2017,9,S,7,1
NAV13,2013,2013,6,Q,0,0
NAV16,2016,2021,10,S,5,1
NAV17,2017,2019,8,S,2,1
NAV18,2018,2023,6,G,5,1
NEB01,2001,2002,2,N,1,0
NEB03,2003,2005,2,N,2,1
NEB04,2004,2004,6,A,0,0
NEB06,2006,2008,4,N,2,1
NEB07,2007,2007,5,B,0,0
NEB08,2008,2008,6,Q,0,0
NEB09,2009,2009,6,B,0,0
NEC02,2002,2011,,,9,1
NEC05,2005,2014,1,S,9,1
NEC06,2006,2016,9,S,10,1
NEC08,2008,2017,11,S,9,1
NEC10,2010,2012,11,S,2,1
NEC12,2012,2019,1,S,7,1
NECKS,1980,1987,8,Q,7,1
NEP96,1996,1999,11,S,3,1
NEP97,1997,1997,6,E,0,0
NEP98,1998,2001,8,S,3,1
NEP99,1999,1999,6,Q,0,0
NET01,2001,2002,2,N,1,0
NET02,2002,2018,8,N,16,1
NET03,2003,2008,8,S,5,1
NET04,2004,2005,3,N,1,0
NET06,2006,2006,5,B,0,0
NET07,2007,2009,5,N,2,1
NET08,2008,2008,12,N,0,0
NET98,1998,1999,4,N,1,0
NET99,1999,2010,3,N,11,1
NIA18,2018,2018,6,Q,0,0
NIA20,2020,2023,8,S,3,1
NIA22,2022,2023,3,N,1,0
NIBSI,1982,1993,1,N,11,1
NICKS,1965,1976,8,S,11,1
NICKY,2003,2009,,Q,6,1
NIV01,2001,2001,7,Q,0,0
NIV02,2002,2002,10,S,0,0
NNE20,2020,2021,1,Q,1,0
NOB72,1972,1972,8,Q,0,0
NOB74,1974,1974,5,D,0,0
NOB75,1975,1975,6,D,0,0
NOB76,1976,1989,5,A,13,1
NOB77,1977,1977,6,Q,0,0
NOB78,1978,1987,10,Q,9,1
NOB79,1979,1980,1,N,1,0
NON80,1980,1981,3,N,1,0
NON82,1982,1983,3,N,1,0
NON83,1983,1983,6,Q,0,0
NON84,1984,1986,3,N,2,1
NON85,1985,1986,2,N,1,0
NON86,1986,1990,10,A,4,1
NON87,1987,1988,3,N,1,0
NON88,1988,1988,6,Q,0,0
NON89,1989,1989,5,B,0,0
NRSWI,1974,1986,3,N,12,1
NTRYL,1965,1978,11,Q,13,1
NUC78,1978,1978,6,Q,0,0
NUC79,1979,1985,8,S,6,1
NUC81,1981,1987,,Q,6,1
NUC85,1985,1986,,Q,1,1
NUT02,2002,2003,10,S,1,1
NYM98,1998,2001,11,S,3,1
OAT87,1987,1993,3,N,6,1
OAT89,1989,2000,4,N,11,1
OAT90,1990,1998,6,C,8,1
OAT92,1992,1993,2,N,1,0
OAT94,1994,2005,4,N,11,1
OAT95,1995,1995,6,B,0,0
OCC84,1984,1986,,Q,2,1
OCC85,1985,1992,4,N,7,1
OCC88,1988,1991,12,S,3,1
OCC89,1989,2000,11,S,11,1
OCC90,1990,1994,8,S,4,1
OCH83,1983,1997,,N,14,1
OCH85,1985,1993,3,N,8,1
OCH87,1987,1993,2,N,6,1
OCH89,1989,1989,5,A,0,0
OCH90,1990,2006,4,N,16,1
OCH92,1992,2004,7,S,12,1
OCH94,1994,1994,6,B,0,0
OCH96,1996,2009,1,Q,13,1
OCH98,1998,2011,3,Q,13,1
OCT22,2022,2022,11,S,0,0
ODDIE,2009,2017,10,S,8,1
ONY08,2008,2008,6,A,0,0
ONY09,2009,2009,5,Q,0,0
ONY10,2010,2010,8,E,0,0
ONY11,2011,2013,9,S,2,1
ONY12,2012,2014,7,S,2,1
ONY13,2013,2017,11,S,4,1
ONY15,2015,2021,11,S,6,1
ONY17,2017,2018,3,N,1,0
ONY21,2021,2022,3,N,1,0
OPA01,2001,2002,4,N,1,0
OPA03,2003,2008,2,N,5,1
OPA04,2004,2005,3,N,1,0
OPA06,2006,2007,4,N,1,0
OPA07,2007,2017,2,N,10,1
OPA10,2010,2010,8,Q,0,0
OPA11,2011,2012,2,N,1,0
OPA99,1999,2004,11,S,5,1
OPE92,1992,1993,3,N,1,0
ORA07,2007,2008,3,N,1,0
ORA09,2009,2011,3,N,2,1
ORA11,2011,2011,6,Q,0,0
ORA12,2012,2012,12,N,0,0
ORA13,2013,2013,6,D,0,0
ORA14,2014,2019,7,S,5,1
ORC95,1995,2009,1,N,14,1
ORC97,1997,2002,2,N,5,1
ORC98,1998,2000,3,N,2,1
ORC99,1999,1999,4,,0,0
ORG01,2001,2001,11,S,0,0
ORIGA,2005,2012,,Q,7,1
ORP91,1991,1991,5,E,0,0
ORP92,1992,2000,2,N,8,1
ORPHA,1970,1980,9,S,10,1
ORY09,2009,2009,6,D,0,0
ORY10,2010,2018,9,S,8,1
ORY12,2012,2023,10,R,11,1
ORY14,2014,2022,9,S,8,1
ORY16,2016,2017,2,N,1,0
OSSIA,1960,1975,1,N,15,1
OST81,1981,1993,4,N,12,1
OTA70,1970,1974,9,S,4,1
OTA71,1971,1973,,E,2,1
OTA72,1972,1976,11,Q,4,1
OTA75,1975,1978,5,S,3,1
OTA76,1976,1989,2,N,13,1
OTA77,1977,1983,8,S,6,1
OTA78,1978,1984,3,N,6,1
OTA79,1979,1979,6,Q,0,0
OTA80,1980,1996,10,Q,16,1
OTA81,1981,1983,3,N,2,1
OTA83,1983,1983,6,Q,0,0
OTA84,1984,1984,6,Q,0,0
OTA85,1985,1986,1,N,1,0
OTAGG,1966,1986,3,N,20,1
OTC75,1975,1979,9,S,4,1
OTC76,1976,1989,3,N,13,1
OTT88,1988,1988,6,Q,0,0
OTT89,1989,2001,12,S,12,1
OUI17,2017,2018,4,N,1,0
OVA00,2000,2002,12,S,2,1
OVA02,2002,2002,10,S,0,0
OVA97,1997,2002,2,N,5,1
OXA01,2001,2001,9,Q,0,0
OXA02,2002,2004,12,Q,2,1
OXA04,2004,2004,6,Q,0,0
OXA05,2005,2005,6,Q,0,0
OXA06,2006,2006,5,,0,0
OXA95,1995,2002,,Q,7,1
OXA96,1996,2000,8,S,4,1
OXA99,1999,2003,11,S,4,1
OXL83,1983,1983,6,D,0,0
OXL85,1985,1985,,N,0,0
OXL88,1988,1989,,N,1,1
OXL90,1990,1990,5,A,0,0
OXY00,2000,2000,6,E,0,0
OXY01,2001,2003,9,S,2,1
OXY03,2003,2009,9,S,6,1
OXY05,2005,2017,2,N,12,1
OXY06,2006,2018,5,N,12,1
OXY09,2009,2023,2,N,14,1
OXY11,2011,2013,4,N,2,1
OYS13,2013,2013,5,Q,0,0
OYS14,2014,2014,6,B,0,0
PACKH,2011,2018,7,S,7,1
PAN00,2000,2014,2,N,14,1
PAN01,2001,2002,2,N,1,0
PAN02,2002,2002,6,Q,0,0
PAN03,2003,2005,2,N,2,1
PAN04,2004,2005,3,N,1,0
PAN05,2005,2011,7,S,6,1
PAN06,2006,2020,12,N,14,1
PAN07,2007,2008,5,N,1,1
PAN09,2009,2011,2,N,2,1
PAP86,1986,1986,6,Q,0,0
PAP87,1987,2004,2,N,17,1
PAP88,1988,1989,4,N,1,0
PAP90,1990,1993,3,N,3,1
PAP91,1991,1993,3,N,2,1
PAP94,1994,2007,3,N,13,1
PAR83,1983,1988,8,S,5,1
PASTO,1971,1984,4,N,13,1
PAT83,1983,1983,8,B,0,0
PATCH,2003,2011,,Q,8,1
PAW19,2019,2022,9,S,3,1
PAW22,2022,2023,1,S,1,
PCL02,2002,2010,12,S,8,1
PCL04,2004,2006,8,S,2,1
PCL06,2006,2010,10,S,4,1
PCL08,2008,2009,1,S,1,
PCN06,2006,2016,9,S,10,1
PCN07,2007,2008,4,N,1,0
PCN08,2008,2009,3,N,1,0
PCN09,2009,2009,7,Q,0,0
PCN10,2010,2018,12,N,8,1
PCN11,2011,2017,11,S,6,1
PCN12,2012,2013,5,N,1,1
PCN13,2013,2014,3,N,1,0
PCN14,2014,2014,5,W,0,0
PCN15,2015,2017,4,N,2,1
PCN16,2016,2017,3,N,1,0
PCN17,2017,2017,6,W,0,0
PCN18,2018,2019,3,N,1,0
PCO03,2003,2004,4,N,1,0
PCO04,2004,2005,1,N,1,0
PCO06,2006,2017,12,S,11,1
PCO07,2007,2007,7,Q,0,0
PCO08,2008,2009,3,Q,1,0
PCO11,2011,2012,1,N,1,0
PEA12,2012,2012,6,Q,0,0
PEA13,2013,2014,1,S,1,
PEC80,1980,1980,6,Q,0,0
PEC81,1981,1991,12,S,10,1
PEC82,1982,1992,4,N,10,1
PEC84,1984,1990,8,S,6,1
PEC85,1985,1999,4,N,14,1
PEC86,1986,1992,11,S,6,1
PEC89,1989,2001,9,S,12,1
PEC90,1990,2001,,Q,11,1
PEC92,1992,1992,6,Q,0,0
PEC93,1993,1993,12,N,0,0
PEE83,1983,1983,4,B,0,0
PEL87,1987,1988,3,N,1,0
PEL89,1989,2000,,Q,11,1
PEL91,1991,1991,6,A,0,0
PEL92,1992,1993,2,N,1,0
PEN84,1984,1986,1,N,2,1
PEN85,1985,1986,3,N,1,0
PEN86,1986,1988,3,N,2,1
PEN87,1987,1989,6,Q,2,1
PEN88,1988,1989,1,N,1,0
PEN90,1990,2005,3,N,15,1
PEN91,1991,1992,3,N,1,0
PEN92,1992,1993,1,N,1,0
PEP84,1984,1984,6,E,0,0
PEP85,1985,2000,2,N,15,1
PEP86,1986,1993,8,S,7,1
PEP88,1988,1994,8,Q,6,1
PEP90,1990,1998,10,S,8,1
PEP91,1991,2003,10,S,12,1
PEP93,1993,2002,1,S,9,1
PEP94,1994,1995,3,N,1,0
PEP95,1995,1998,8,S,3,1
PEP97,1997,1997,7,Q,0,0
PEP99,1999,1999,6,E,0,0
PER79,1979,1981,3,N,2,1
PER81,1981,1982,,Q,1,1
PERCY,1995,2011,,Q,16,1
PET83,1983,1993,2,N,10,1
PET85,1985,1997,4,N,12,1
PET87,1987,2005,3,N,18,1
PET88,1988,1991,12,S,3,1
PETES,1966,1979,1,N,13,1
PGB71,1971,1971,7,Q,0,0
PGB74,1974,1991,5,N,17,1
PGB75,1975,1981,12,S,6,1
PGB77,1977,1978,2,N,1,0
PGB80,1980,1980,6,Q,0,0
PGB83,1983,1999,10,S,16,1
PGB85,1985,1985,7,Q,0,0
PGB86,1986,1986,6,Q,0,0
PHA07,2007,2007,6,E,0,0
PHA10,2010,2012,11,S,2,1
PHA12,2012,2013,11,S,1,1
PHA13,2013,2013,11,S,0,0
PHE18,2018,2018,6,B,0,0
PHL95,1995,1995,6,B,0,0
PHL96,1996,2000,5,C,4,1
PHL98,1998,1999,2,N,1,0
PHO79,1979,1979,7,Q,0,0
PHO80,1980,1981,2,N,1,0
PIB83,1983,1993,3,N,10,1
PIB85,1985,1986,4,N,1,0
PIBRO,1973,1988,4,N,15,1
PIC00,2000,2002,1,S,2,1
PIC89,1989,1989,6,B,0,0
PIC90,1990,2000,2,N,10,1
PIC91,1991,1997,10,S,6,1
PIC93,1993,1998,7,S,5,1
PIC96,1996,2000,8,S,4,1
PIC98,1998,2009,1,S,11,1
PID89,1989,1999,4,N,10,1
PID91,1991,1993,2,N,2,1
PID92,1992,1993,3,N,1,0
PID94,1994,1998,7,S,4,1
PID95,1995,2010,1,N,15,1
PID96,1996,2003,9,S,7,1
PID97,1997,2012,2,N,15,1
