DeerYear-1,DeerYear,PopN (Total),PopF+M (all adults),PopF+C (All females),Hinds,Stags,Calves,Calves_F,Calves_M,LU_Total,LU_F+M,LU_Hinds,LU_Stags,LU_Calves,F_Calves_ratio,M_Calves_ratio,Ratio,
1972,1973,240,209,95,79,130,31,16,15,81.92,75.72,23.72,52,6.2,0.516,0.484,1.066666667,
1973,1974,244,202,112,90,112,42,22,20,80.23,71.83,27.03,44.8,8.4,0.524,0.476,1.1,
1974,1975,271,226,132,113,113,45,19,26,88.13,79.13,33.93,45.2,9,0.422,0.578,0.730769231,
1975,1976,274,230,131,114,116,44,17,27,89.43,80.63,34.23,46.4,8.8,0.386,0.614,0.62962963,
1976,1977,318,262,155,134,128,56,21,35,102.64,91.44,40.24,51.2,11.2,0.375,0.625,0.6,
1977,1978,350,300,172,151,149,50,21,29,114.95,104.95,45.35,59.6,10,0.420,0.580,0.724137931,
1978,1979,320,263,168,142,121,57,26,31,102.44,91.04,42.64,48.4,11.4,0.456,0.544,0.838709677,
1979,1980,305,256,181,155,101,49,26,23,96.75,86.95,46.55,40.4,9.8,0.531,0.469,1.130434783,
1980,1981,286,239,173,152,87,47,21,26,89.85,80.45,45.65,34.8,9.4,0.447,0.553,0.807692308,
1981,1982,308,251,188,161,90,57,27,30,95.75,84.35,48.35,36,11.4,0.474,0.526,0.9,
1982,1983,314,247,197,162,85,67,35,32,96.05,82.65,48.65,34,13.4,0.522,0.478,1.09375,
1983,1984,317,258,194,165,93,59,29,30,98.55,86.75,49.55,37.2,11.8,0.492,0.508,0.966666667,
1984,1985,397,317,235,201,116,80,34,46,122.76,106.76,60.36,46.4,16,0.425,0.575,0.739130435,
1985,1986,318,276,190,168,108,42,22,20,102.05,93.65,50.45,43.2,8.4,0.524,0.476,1.1,
1986,1987,344,274,210,174,100,70,36,34,106.25,92.25,52.25,40,14,0.514,0.486,1.058823529,
1987,1988,375,323,225,199,124,52,26,26,119.76,109.36,59.76,49.6,10.4,0.500,0.500,1,
1988,1989,324,255,201,162,93,69,39,30,99.65,85.85,48.65,37.2,13.8,0.565,0.435,1.3,
1989,1990,338,275,203,174,101,63,29,34,105.25,92.65,52.25,40.4,12.6,0.460,0.540,0.852941176,
1990,1991,336,271,207,174,97,65,33,32,104.05,91.05,52.25,38.8,13,0.508,0.492,1.03125,
1991,1992,304,257,186,167,90,47,19,28,95.55,86.15,50.15,36,9.4,0.404,0.596,0.678571429,
1992,1993,253,201,161,131,70,52,30,22,77.74,67.34,39.34,28,10.4,0.577,0.423,1.363636364,
1993,1994,262,195,180,144,51,67,36,31,77.04,63.64,43.24,20.4,13.4,0.537,0.463,1.161290323,
1994,1995,308,238,193,162,76,70,31,39,93.05,79.05,48.65,30.4,14,0.443,0.557,0.794871795,
1995,1996,343,270,211,177,93,73,34,39,104.95,90.35,53.15,37.2,14.6,0.466,0.534,0.871794872,
1996,1997,355,282,234,193,89,73,41,32,108.16,93.56,57.96,35.6,14.6,0.562,0.438,1.28125,
1997,1998,367,298,249,211,87,69,38,31,111.96,98.16,63.36,34.8,13.8,0.551,0.449,1.225806452,
1998,1999,344,284,222,195,89,60,27,33,106.16,94.16,58.56,35.6,12,0.450,0.550,0.818181818,
1999,2000,278,222,210,179,43,56,31,25,82.15,70.95,53.75,17.2,11.2,0.554,0.446,1.24,
2000,2001,295,232,218,183,49,63,35,28,87.15,74.55,54.95,19.6,12.6,0.556,0.444,1.25,
2001,2002,265,209,202,176,33,56,26,30,77.25,66.05,52.85,13.2,11.2,0.464,0.536,0.866666667,
2002,2003,305,224,226,187,37,81,39,42,87.16,70.96,56.16,14.8,16.2,0.481,0.519,0.928571429,
2003,2004,312,250,235,198,52,62,37,25,92.66,80.26,59.46,20.8,12.4,0.597,0.403,1.48,
2004,2005,272,219,205,182,37,53,23,30,80.05,69.45,54.65,14.8,10.6,0.434,0.566,0.766666667,
2005,2006,312,227,235,188,39,85,47,38,89.06,72.06,56.46,15.6,17,0.553,0.447,1.236842105,
2006,2007,332,252,247,205,47,80,42,38,96.36,80.36,61.56,18.8,16,0.525,0.475,1.105263158,
2007,2008,282,222,209,183,39,60,26,34,82.55,70.55,54.95,15.6,12,0.433,0.567,0.764705882,
2008,2009,286,226,215,191,35,60,24,36,83.36,71.36,57.36,14,12,0.400,0.600,0.666666667,
2009,2010,267,213,206,178,35,54,28,26,78.25,67.45,53.45,14,10.8,0.519,0.481,1.076923077,
2010,2011,249,199,198,179,20,50,19,31,71.75,61.75,53.75,8,10,0.380,0.620,0.612903226,
2011,2012,284,202,222,178,24,82,44,38,79.45,63.05,53.45,9.6,16.4,0.537,0.463,1.157894737,
2012,2013,270,210,207,179,31,60,28,32,78.15,66.15,53.75,12.4,12,0.467,0.533,0.875,
2013,2014,260,202,204,172,30,58,32,26,75.25,63.65,51.65,12,11.6,0.552,0.448,1.230769231,
2014,2015,283,216,212,180,36,67,32,35,81.85,68.45,54.05,14.4,13.4,0.478,0.522,0.914285714,
2015,2016,292,217,207,171,46,75,36,39,84.75,69.75,51.35,18.4,15,0.480,0.520,0.923076923,
2016,2017,264,212,203,174,38,52,29,23,77.85,67.45,52.25,15.2,10.4,0.558,0.442,1.260869565,
2017,2018,239,188,180,156,32,51,24,27,69.85,59.65,46.85,12.8,10.2,0.471,0.529,0.888888889,
2018,2019,236,186,189,162,24,50,27,23,68.25,58.25,48.65,9.6,10,0.540,0.460,1.173913043,
2019,2020,292,201,214,168,33,91,46,45,81.85,63.65,50.45,13.2,18.2,0.505,0.495,1.022222222,
2020,2021,277,220,206,178,42,57,28,29,81.65,70.25,53.45,16.8,11.4,0.491,0.509,0.965517241,
2021,2022,265,202,191,163,39,63,28,35,77.15,64.55,48.95,15.6,12.6,0.444,0.556,0.8,
